
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,TrackID,ID,
4.64967,um,Surface,432,1000207101,213207,
5.20176,um,Surface,432,1000168619,213208,
4.68061,um,Surface,432,1000188975,213209,
5.96031,um,Surface,432,1000194928,213210,
4.8957,um,Surface,432,1000204718,213211,
5.51211,um,Surface,432,1000161072,213212,
5.07303,um,Surface,432,1000209244,213213,
4.82202,um,Surface,432,1000203533,213214,
5.23628,um,Surface,432,1000199773,213215,
7.80496,um,Surface,432,1000177939,213216,
6.3632,um,Surface,432,1000179475,213217,
4.42807,um,Surface,432,1000208231,213218,
5.25739,um,Surface,432,1000210851,213219,
4.50242,um,Surface,432,1000201374,213220,
5.10554,um,Surface,432,1000161104,213221,
8.01165,um,Surface,432,1000197225,213222,
4.59054,um,Surface,432,1000205236,213223,
5.85663,um,Surface,432,1000208321,213224,
5.64851,um,Surface,432,1000161145,213225,
4.84116,um,Surface,432,1000161146,213226,
6.41343,um,Surface,432,1000208944,213227,
4.86859,um,Surface,432,1000199432,213228,
6.90326,um,Surface,432,1000202567,213229,
4.64091,um,Surface,432,1000191712,213230,
5.34638,um,Surface,432,1000196348,213231,
7.65672,um,Surface,432,1000201094,213232,
5.5465,um,Surface,433,1000189692,213233,
4.28966,um,Surface,433,1000162116,213234,
6.38897,um,Surface,433,1000202801,213235,
5.23779,um,Surface,433,1000210650,213236,
5.83676,um,Surface,433,1000161032,213237,
4.58294,um,Surface,433,1000198833,213238,
5.65317,um,Surface,433,1000166950,213239,
10.5443,um,Surface,433,1000212391,213240,
5.01609,um,Surface,433,1000210467,213241,
4.42207,um,Surface,433,1000161044,213242,
4.67877,um,Surface,433,1000161049,213243,
4.99842,um,Surface,433,1000202411,213244,
4.42806,um,Surface,433,1000213056,213245,
4.80545,um,Surface,433,1000188975,213246,
5.05766,um,Surface,433,1000168619,213247,
4.52243,um,Surface,433,1000194928,213248,
4.37861,um,Surface,433,1000204718,213249,
5.13176,um,Surface,433,1000161072,213250,
4.80543,um,Surface,433,1000209244,213251,
5.15582,um,Surface,433,1000203533,213252,
5.3959,um,Surface,433,1000199773,213253,
6.53273,um,Surface,433,1000179475,213254,
5.85213,um,Surface,433,1000177939,213255,
5.07946,um,Surface,433,1000210851,213256,
4.47889,um,Surface,433,1000208231,213257,
4.54069,um,Surface,433,1000161104,213258,
4.32427,um,Surface,433,1000201374,213259,
8.07142,um,Surface,433,1000197225,213260,
5.53986,um,Surface,433,1000208321,213261,
6.8397,um,Surface,433,1000202567,213262,
6.22103,um,Surface,433,1000161146,213263,
4.76203,um,Surface,433,1000208944,213264,
4.69794,um,Surface,433,1000199432,213265,
5.74166,um,Surface,433,1000161145,213266,
4.73229,um,Surface,433,1000191712,213267,
6.53758,um,Surface,433,1000196348,213268,
7.26512,um,Surface,433,1000201094,213269,
5.94893,um,Surface,434,1000161032,213270,
4.93098,um,Surface,434,1000198833,213271,
7.30512,um,Surface,434,1000166950,213272,
5.1064,um,Surface,434,1000210650,213273,
4.98519,um,Surface,434,1000212567,213274,
5.418,um,Surface,434,1000202801,213275,
4.47888,um,Surface,434,1000189692,213276,
7.21963,um,Surface,434,1000213056,213277,
5.95349,um,Surface,434,1000202411,213278,
4.81034,um,Surface,434,1000161049,213279,
4.86588,um,Surface,434,1000168619,213280,
4.92344,um,Surface,434,1000194928,213281,
5.25672,um,Surface,434,1000188975,213282,
9.5777,um,Surface,434,1000207101,213283,
5.08882,um,Surface,434,1000204718,213284,
5.29004,um,Surface,434,1000161072,213285,
4.72792,um,Surface,434,1000209244,213286,
4.67782,um,Surface,434,1000203533,213287,
5.17579,um,Surface,434,1000199773,213288,
6.40625,um,Surface,434,1000179475,213289,
7.43267,um,Surface,434,1000177939,213290,
5.21011,um,Surface,434,1000210851,213291,
4.58304,um,Surface,434,1000161104,213292,
4.37861,um,Surface,434,1000201374,213293,
4.35666,um,Surface,434,1000208231,213294,
6.57987,um,Surface,434,1000197225,213295,
