
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,TrackID,ID,
4.62061,um,Surface,299,1000218970,236856,
3.12836,um,Surface,299,1000236336,236857,
3.7367,um,Surface,299,1000231154,236858,
5.60185,um,Surface,299,1000232029,236859,
3.98992,um,Surface,299,1000229262,236860,
3.41932,um,Surface,299,1000190082,236861,
4.52454,um,Surface,299,1000220931,236862,
4.75234,um,Surface,299,1000190078,236863,
4.4449,um,Surface,299,1000190060,236864,
4.33861,um,Surface,299,1000228430,236865,
4.12067,um,Surface,299,1000190070,236866,
4.89871,um,Surface,299,1000236709,236867,
4.23625,um,Surface,299,1000227641,236868,
3.69257,um,Surface,299,1000190669,236869,
4.48304,um,Surface,299,1000231680,236870,
3.96398,um,Surface,299,1000190069,236871,
4.71598,um,Surface,299,1000225127,236872,
1.98032,um,Surface,299,1000236266,236873,
4.39764,um,Surface,299,1000234098,236874,
4.14438,um,Surface,299,1000209911,236875,
4.67194,um,Surface,299,1000234104,236876,
4.44215,um,Surface,299,1000190102,236877,
4.11395,um,Surface,299,1000190094,236878,
3.37187,um,Surface,299,1000224541,236879,
2.82938,um,Surface,299,1000222876,236880,
2.3041,um,Surface,299,1000236881,236881,
4.05236,um,Surface,299,1000226984,236882,
2.93795,um,Surface,299,1000206660,236883,
2.29496,um,Surface,299,1000222102,236884,
3.21953,um,Surface,299,1000190110,236885,
4.10094,um,Surface,299,1000215621,236886,
2.99001,um,Surface,299,1000190117,236887,
3.8985,um,Surface,299,1000190091,236888,
5.61208,um,Surface,299,1000219195,236889,
4.38584,um,Surface,299,1000190130,236890,
1.98032,um,Surface,299,1000227524,236891,
4.94602,um,Surface,299,1000232895,236892,
3.51928,um,Surface,299,1000190129,236893,
3.94736,um,Surface,299,1000231939,236894,
3.46352,um,Surface,299,1000190416,236895,
2.343,um,Surface,299,1000219672,236896,
3.96921,um,Surface,299,1000190126,236897,
1.9803,um,Surface,299,1000229968,236898,
3.44687,um,Surface,299,1000231721,236899,
3.37696,um,Surface,299,1000228905,236900,
2.23399,um,Surface,299,1000209980,236901,
3.68437,um,Surface,299,1000219206,236902,
4.22201,um,Surface,300,1000235565,236903,
3.49005,um,Surface,300,1000221174,236904,
5.11261,um,Surface,300,1000219866,236905,
1.98037,um,Surface,300,1000222473,236906,
3.33442,um,Surface,300,1000233369,236907,
2.3468,um,Surface,300,1000235079,236908,
4.34151,um,Surface,300,1000190294,236909,
4.46322,um,Surface,300,1000222142,236910,
4.48768,um,Surface,300,1000226767,236911,
3.61934,um,Surface,300,1000230364,236912,
3.07715,um,Surface,300,1000210577,236913,
3.05754,um,Surface,300,1000191540,236914,
1.98037,um,Surface,300,1000221656,236915,
4.43407,um,Surface,300,1000225060,236916,
3.3075,um,Surface,300,1000207143,236917,
3.58816,um,Surface,300,1000220704,236918,
3.4922,um,Surface,300,1000190041,236919,
4.83145,um,Surface,300,1000225374,236920,
3.40063,um,Surface,300,1000230763,236921,
4.10615,um,Surface,300,1000231127,236922,
5.25278,um,Surface,300,1000191553,236923,
1.9803,um,Surface,300,1000190044,236924,
7.09949,um,Surface,300,1000190052,236925,
3.44713,um,Surface,300,1000229618,236926,
1.98032,um,Surface,300,1000195204,236927,
2.72933,um,Surface,300,1000200298,236928,
2.24502,um,Surface,300,1000228663,236929,
4.3055,um,Surface,300,1000231776,236930,
5.3716,um,Surface,300,1000230532,236931,
2.3092,um,Surface,300,1000225673,236932,
5.70323,um,Surface,300,1000224498,236933,
5.38052,um,Surface,300,1000232584,236934,
3.07398,um,Surface,300,1000234070,236935,
3.19859,um,Surface,300,1000223145,236936,
2.88417,um,Surface,300,1000236336,236937,
4.60984,um,Surface,300,1000221385,236938,
