
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,TrackID,ID,
1.9803,um,Surface,4,1000190115,190392,
5.31686,um,Surface,4,1000190109,190393,
5.11906,um,Surface,4,1000190110,190394,
5.47306,um,Surface,4,1000190106,190395,
5.66833,um,Surface,4,1000190107,190396,
4.19516,um,Surface,4,1000190113,190397,
4.73353,um,Surface,4,1000190114,190398,
5.15586,um,Surface,4,1000190259,190399,
4.65695,um,Surface,4,1000190112,190400,
5.39891,um,Surface,4,1000190111,190401,
3.25134,um,Surface,4,1000190116,190402,
4.84308,um,Surface,4,1000190124,190403,
4.89557,um,Surface,4,1000190118,190404,
4.552,um,Surface,4,1000190119,190405,
5.99698,um,Surface,4,1000190122,190406,
4.89077,um,Surface,4,1000190121,190407,
4.29728,um,Surface,4,1000190120,190408,
5.19857,um,Surface,4,1000190123,190409,
5.24178,um,Surface,4,1000190117,190410,
4.55696,um,Surface,4,1000190126,190411,
4.54463,um,Surface,4,1000190128,190412,
4.84113,um,Surface,4,1000190127,190413,
5.58069,um,Surface,4,1000190130,190414,
5.47173,um,Surface,4,1000190131,190415,
4.24239,um,Surface,4,1000190416,190416,
5.71837,um,Surface,4,1000190125,190417,
4.27714,um,Surface,4,1000190134,190418,
4.30179,um,Surface,4,1000190135,190419,
4.11481,um,Surface,4,1000190133,190420,
5.16514,um,Surface,4,1000190129,190421,
5.49362,um,Surface,4,1000190136,190422,
4.14017,um,Surface,4,1000190137,190423,
5.36698,um,Surface,4,1000190138,190424,
4.80453,um,Surface,4,1000190132,190425,
3.86348,um,Surface,4,1000190139,190426,
2.63207,um,Surface,4,1000190140,190427,
4.30775,um,Surface,5,1000190012,190428,
5.11608,um,Surface,5,1000190008,190429,
4.53028,um,Surface,5,1000190007,190430,
5.62419,um,Surface,5,1000190009,190431,
4.90732,um,Surface,5,1000190005,190432,
4.26981,um,Surface,5,1000190006,190433,
5.38074,um,Surface,5,1000190015,190434,
5.11491,um,Surface,5,1000190014,190435,
1.98026,um,Surface,5,1000190010,190436,
5.60967,um,Surface,5,1000190011,190437,
5.14268,um,Surface,5,1000190284,190438,
5.47735,um,Surface,5,1000190013,190439,
5.07288,um,Surface,5,1000190294,190440,
5.14184,um,Surface,5,1000190017,190441,
5.81467,um,Surface,5,1000190016,190442,
4.77395,um,Surface,5,1000190019,190443,
3.89803,um,Surface,5,1000190018,190444,
4.69343,um,Surface,5,1000190020,190445,
5.31341,um,Surface,5,1000190159,190446,
4.27486,um,Surface,5,1000190021,190447,
5.75335,um,Surface,5,1000190023,190448,
4.15455,um,Surface,5,1000190022,190449,
5.6252,um,Surface,5,1000190024,190450,
5.3169,um,Surface,5,1000190301,190451,
5.31718,um,Surface,5,1000190025,190452,
4.65031,um,Surface,5,1000190028,190453,
4.72892,um,Surface,5,1000190026,190454,
4.75715,um,Surface,5,1000190031,190455,
1.98029,um,Surface,5,1000190029,190456,
3.13964,um,Surface,5,1000190030,190457,
4.22239,um,Surface,5,1000190032,190458,
4.87146,um,Surface,5,1000190033,190459,
5.50075,um,Surface,5,1000190027,190460,
4.31001,um,Surface,5,1000190034,190461,
5.37328,um,Surface,5,1000190037,190462,
4.08856,um,Surface,5,1000190035,190463,
4.81615,um,Surface,5,1000190041,190464,
4.30042,um,Surface,5,1000190036,190465,
4.09976,um,Surface,5,1000190043,190466,
4.47615,um,Surface,5,1000190039,190467,
6.52115,um,Surface,5,1000190038,190468,
5.58585,um,Surface,5,1000190040,190469,
4.19159,um,Surface,5,1000190046,190470,
5.51987,um,Surface,5,1000190049,190471,
3.48818,um,Surface,5,1000190042,190472,
4.49779,um,Surface,5,1000190051,190473,
5.18563,um,Surface,5,1000190050,190474,
5.20003,um,Surface,5,1000190045,190475,
4.31497,um,Surface,5,1000190047,190476,
5.06269,um,Surface,5,1000190335,190477,
5.38641,um,Surface,5,1000190048,190478,
5.72331,um,Surface,5,1000190053,190479,
5.37489,um,Surface,5,1000190044,190480,
5.6103,um,Surface,5,1000190337,190481,
1.98026,um,Surface,5,1000190333,190482,
4.1122,um,Surface,5,1000190052,190483,
4.92322,um,Surface,5,1000190058,190484,
4.15097,um,Surface,5,1000190057,190485,
4.30671,um,Surface,5,1000190055,190486,
1.98032,um,Surface,5,1000190063,190487,
5.40411,um,Surface,5,1000190056,190488,
5.13174,um,Surface,5,1000190195,190489,
4.29797,um,Surface,5,1000190064,190490,
5.63362,um,Surface,5,1000190054,190491,
5.62193,um,Surface,5,1000190061,190492,
4.81982,um,Surface,5,1000190060,190493,
6.57419,um,Surface,5,1000190062,190494,
4.23925,um,Surface,5,1000190065,190495,
4.41793,um,Surface,5,1000190059,190496,
5.25183,um,Surface,5,1000190068,190497,
4.51646,um,Surface,5,1000190072,190498,
4.10786,um,Surface,5,1000190069,190499,
4.71713,um,Surface,5,1000190070,190500,
4.31063,um,Surface,5,1000190067,190501,
2.80645,um,Surface,5,1000190066,190502,
4.132,um,Surface,5,1000190073,190503,
5.77352,um,Surface,5,1000190071,190504,
5.78217,um,Surface,5,1000190082,190505,
5.14116,um,Surface,5,1000190076,190506,
4.20263,um,Surface,5,1000190078,190507,
4.29913,um,Surface,5,1000190077,190508,
5.39202,um,Surface,5,1000190080,190509,
6.4119,um,Surface,5,1000190074,190510,
4.13513,um,Surface,5,1000190075,190511,
4.14014,um,Surface,5,1000190081,190512,
5.5424,um,Surface,5,1000190083,190513,
4.28888,um,Surface,5,1000190085,190514,
4.86349,um,Surface,5,1000190093,190515,
3.93121,um,Surface,5,1000190088,190516,
4.19045,um,Surface,5,1000190079,190517,
