
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
124.911,um^2,Surface,367,1000209911,241766,
102.26,um^2,Surface,367,1000236881,241767,
97.4019,um^2,Surface,367,1000224541,241768,
90.211,um^2,Surface,367,1000222876,241769,
91.8904,um^2,Surface,367,1000238369,241770,
167.533,um^2,Surface,367,1000226984,241771,
141.203,um^2,Surface,367,1000238601,241772,
156.085,um^2,Surface,367,1000215621,241773,
139.699,um^2,Surface,367,1000190110,241774,
306.575,um^2,Surface,367,1000232895,241775,
94.5662,um^2,Surface,367,1000227524,241776,
55.3964,um^2,Surface,367,1000238527,241777,
72.599,um^2,Surface,367,1000190130,241778,
302.933,um^2,Surface,367,1000219195,241779,
148.727,um^2,Surface,367,1000236985,241780,
98.685,um^2,Surface,367,1000190126,241781,
53.226,um^2,Surface,367,1000241480,241782,
99.0329,um^2,Surface,367,1000209980,241783,
177.978,um^2,Surface,368,1000233369,241784,
116.65,um^2,Surface,368,1000235079,241785,
60.5102,um^2,Surface,368,1000237825,241786,
85.8405,um^2,Surface,368,1000190294,241787,
130.295,um^2,Surface,368,1000222142,241788,
365.846,um^2,Surface,368,1000241001,241789,
213.701,um^2,Surface,368,1000239987,241790,
84.2114,um^2,Surface,368,1000238712,241791,
87.0134,um^2,Surface,368,1000221656,241792,
106.954,um^2,Surface,368,1000240621,241793,
75.9109,um^2,Surface,368,1000218119,241794,
149.393,um^2,Surface,368,1000207143,241795,
78.316,um^2,Surface,368,1000238081,241796,
133.327,um^2,Surface,368,1000238078,241797,
106.231,um^2,Surface,368,1000191553,241798,
105.367,um^2,Surface,368,1000241266,241799,
56.3529,um^2,Surface,368,1000195204,241800,
111.122,um^2,Surface,368,1000229618,241801,
116.038,um^2,Surface,368,1000223145,241802,
249.14,um^2,Surface,368,1000230532,241803,
135.019,um^2,Surface,368,1000224498,241804,
190.139,um^2,Surface,368,1000221385,241805,
118.944,um^2,Surface,368,1000225673,241806,
325.741,um^2,Surface,368,1000234396,241807,
71.0572,um^2,Surface,368,1000231154,241808,
219.839,um^2,Surface,368,1000218970,241809,
349.03,um^2,Surface,368,1000240458,241810,
71.0824,um^2,Surface,368,1000190082,241811,
167.263,um^2,Surface,368,1000220931,241812,
82.8829,um^2,Surface,368,1000238100,241813,
112.652,um^2,Surface,368,1000190078,241814,
122.376,um^2,Surface,368,1000190060,241815,
145.543,um^2,Surface,368,1000234098,241816,
202.81,um^2,Surface,368,1000236709,241817,
114.295,um^2,Surface,368,1000190669,241818,
127.402,um^2,Surface,368,1000190102,241819,
84.3385,um^2,Surface,368,1000225127,241820,
129.187,um^2,Surface,368,1000209911,241821,
81.5737,um^2,Surface,368,1000224541,241822,
99.6595,um^2,Surface,368,1000236881,241823,
81.9819,um^2,Surface,368,1000222876,241824,
148.561,um^2,Surface,368,1000238601,241825,
167.684,um^2,Surface,368,1000226984,241826,
120.371,um^2,Surface,368,1000190110,241827,
167.885,um^2,Surface,368,1000215621,241828,
274.659,um^2,Surface,368,1000219195,241829,
136.224,um^2,Surface,368,1000227524,241830,
286.104,um^2,Surface,368,1000232895,241831,
97.6843,um^2,Surface,368,1000190130,241832,
121.708,um^2,Surface,368,1000190126,241833,
83.4362,um^2,Surface,368,1000231721,241834,
95.8276,um^2,Surface,368,1000241480,241835,
71.9483,um^2,Surface,368,1000209980,241836,
130.297,um^2,Surface,369,1000238712,241837,
196.747,um^2,Surface,369,1000239987,241838,
369.417,um^2,Surface,369,1000241001,241839,
45.4273,um^2,Surface,369,1000239343,241840,
92.8629,um^2,Surface,369,1000190294,241841,
188.938,um^2,Surface,369,1000222142,241842,
107.185,um^2,Surface,369,1000237825,241843,
106.179,um^2,Surface,369,1000233369,241844,
110.502,um^2,Surface,369,1000221656,241845,
209.148,um^2,Surface,369,1000225060,241846,
179.6,um^2,Surface,369,1000218119,241847,
134.354,um^2,Surface,369,1000240621,241848,
80.1097,um^2,Surface,369,1000207143,241849,
167.109,um^2,Surface,369,1000238078,241850,
119.632,um^2,Surface,369,1000191553,241851,
84.8474,um^2,Surface,369,1000237593,241852,
134.63,um^2,Surface,369,1000229618,241853,
149.101,um^2,Surface,369,1000241266,241854,
55.1783,um^2,Surface,369,1000195204,241855,
195.174,um^2,Surface,369,1000230532,241856,
177.981,um^2,Surface,369,1000224498,241857,
113.614,um^2,Surface,369,1000225673,241858,
125.994,um^2,Surface,369,1000223145,241859,
177.051,um^2,Surface,369,1000221385,241860,
242.635,um^2,Surface,369,1000234396,241861,
65.3997,um^2,Surface,369,1000231154,241862,
205.202,um^2,Surface,369,1000218970,241863,
258.939,um^2,Surface,369,1000240458,241864,
142.135,um^2,Surface,369,1000220931,241865,
101.357,um^2,Surface,369,1000190082,241866,
139.043,um^2,Surface,369,1000190060,241867,
126.104,um^2,Surface,369,1000234098,241868,
228.31,um^2,Surface,369,1000236709,241869,
89.781,um^2,Surface,369,1000190669,241870,
130.632,um^2,Surface,369,1000231680,241871,
108.045,um^2,Surface,369,1000238506,241872,
102.156,um^2,Surface,369,1000225127,241873,
74.9769,um^2,Surface,369,1000190102,241874,
125.666,um^2,Surface,369,1000209911,241875,
97.5629,um^2,Surface,369,1000236881,241876,
105.796,um^2,Surface,369,1000222876,241877,
158.375,um^2,Surface,369,1000190094,241878,
75.6494,um^2,Surface,369,1000224541,241879,
67.5557,um^2,Surface,369,1000238601,241880,
137.504,um^2,Surface,369,1000238369,241881,
168.571,um^2,Surface,369,1000226984,241882,
