
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
216458,,Surface,3,Image 1,14,55110,
79891,,Surface,3,Image 1,14,55111,
80668,,Surface,3,Image 1,14,55112,
409131,,Surface,3,Image 1,14,55113,
246655,,Surface,3,Image 1,14,55114,
161301,,Surface,3,Image 1,14,55115,
148415,,Surface,3,Image 1,14,55116,
21110,,Surface,3,Image 1,14,55117,
102752,,Surface,3,Image 1,14,55118,
115920,,Surface,3,Image 1,14,55119,
25358,,Surface,3,Image 1,14,55120,
216557,,Surface,3,Image 1,14,55121,
272818,,Surface,3,Image 1,14,55122,
159872,,Surface,3,Image 1,14,55123,
82793,,Surface,3,Image 1,15,55124,
191257,,Surface,3,Image 1,15,55125,
333656,,Surface,3,Image 1,15,55126,
28553,,Surface,3,Image 1,15,55127,
97297,,Surface,3,Image 1,15,55128,
229802,,Surface,3,Image 1,15,55129,
196831,,Surface,3,Image 1,15,55130,
193649,,Surface,3,Image 1,15,55131,
281915,,Surface,3,Image 1,15,55132,
99634,,Surface,3,Image 1,15,55133,
140896,,Surface,3,Image 1,15,55134,
260222,,Surface,3,Image 1,15,55135,
144373,,Surface,3,Image 1,15,55136,
61477,,Surface,3,Image 1,15,55137,
77609,,Surface,3,Image 1,15,55138,
194086,,Surface,3,Image 1,15,55139,
130985,,Surface,3,Image 1,15,55140,
210793,,Surface,3,Image 1,15,55141,
130442,,Surface,3,Image 1,15,55142,
206126,,Surface,3,Image 1,15,55143,
25471,,Surface,3,Image 1,15,55144,
149206,,Surface,3,Image 1,15,55145,
180707,,Surface,3,Image 1,15,55146,
73944,,Surface,3,Image 1,15,55147,
210242,,Surface,3,Image 1,15,55148,
79673,,Surface,3,Image 1,15,55149,
396986,,Surface,3,Image 1,15,55150,
246831,,Surface,3,Image 1,15,55151,
167832,,Surface,3,Image 1,15,55152,
154165,,Surface,3,Image 1,15,55153,
19818,,Surface,3,Image 1,15,55154,
87627,,Surface,3,Image 1,15,55155,
22410,,Surface,3,Image 1,15,55156,
120505,,Surface,3,Image 1,15,55157,
276301,,Surface,3,Image 1,15,55158,
148270,,Surface,3,Image 1,15,55159,
216698,,Surface,3,Image 1,15,55160,
142318,,Surface,3,Image 1,16,55161,
246993,,Surface,3,Image 1,16,55162,
195144,,Surface,3,Image 1,16,55163,
300164,,Surface,3,Image 1,16,55164,
78664,,Surface,3,Image 1,16,55165,
186636,,Surface,3,Image 1,16,55166,
237288,,Surface,3,Image 1,16,55167,
79456,,Surface,3,Image 1,16,55168,
27817,,Surface,3,Image 1,16,55169,
9565,,Surface,3,Image 1,16,55170,
331705,,Surface,3,Image 1,16,55171,
201630,,Surface,3,Image 1,16,55172,
90736,,Surface,3,Image 1,16,55173,
132106,,Surface,3,Image 1,16,55174,
73241,,Surface,3,Image 1,16,55175,
80157,,Surface,3,Image 1,16,55176,
211168,,Surface,3,Image 1,16,55177,
202430,,Surface,3,Image 1,16,55178,
17998,,Surface,3,Image 1,16,55179,
127331,,Surface,3,Image 1,16,55180,
38354,,Surface,3,Image 1,16,55181,
154854,,Surface,3,Image 1,16,55182,
202027,,Surface,3,Image 1,16,55183,
131653,,Surface,3,Image 1,16,55184,
177416,,Surface,3,Image 1,16,55185,
209198,,Surface,3,Image 1,16,55186,
77988,,Surface,3,Image 1,16,55187,
93905,,Surface,3,Image 1,16,55188,
72822,,Surface,3,Image 1,16,55189,
156437,,Surface,3,Image 1,16,55190,
141403,,Surface,3,Image 1,16,55191,
384538,,Surface,3,Image 1,16,55192,
147610,,Surface,3,Image 1,16,55193,
20087,,Surface,3,Image 1,16,55194,
106047,,Surface,3,Image 1,16,55195,
34469,,Surface,3,Image 1,16,55196,
114798,,Surface,3,Image 1,16,55197,
203095,,Surface,3,Image 1,16,55198,
154869,,Surface,3,Image 1,16,55199,
241670,,Surface,3,Image 1,16,55200,
333463,,Surface,3,Image 1,17,55201,
200460,,Surface,3,Image 1,17,55202,
81705,,Surface,3,Image 1,17,55203,
32157,,Surface,3,Image 1,17,55204,
84160,,Surface,3,Image 1,17,55205,
238094,,Surface,3,Image 1,17,55206,
196495,,Surface,3,Image 1,17,55207,
189367,,Surface,3,Image 1,17,55208,
291646,,Surface,3,Image 1,17,55209,
91906,,Surface,3,Image 1,17,55210,
141510,,Surface,3,Image 1,17,55211,
256022,,Surface,3,Image 1,17,55212,
140137,,Surface,3,Image 1,17,55213,
66849,,Surface,3,Image 1,17,55214,
191530,,Surface,3,Image 1,17,55215,
76485,,Surface,3,Image 1,17,55216,
16244,,Surface,3,Image 1,17,55217,
205256,,Surface,3,Image 1,17,55218,
128257,,Surface,3,Image 1,17,55219,
127567,,Surface,3,Image 1,17,55220,
