
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.360891,,Surface,78,57512,
0.207296,,Surface,78,57513,
0.184936,,Surface,78,57514,
0.248363,,Surface,78,57515,
0.245688,,Surface,78,57516,
0.212047,,Surface,78,57517,
0.596554,,Surface,78,57518,
0.165327,,Surface,78,57519,
0.354848,,Surface,78,57520,
0.416374,,Surface,78,57521,
0.325186,,Surface,78,57522,
0.191334,,Surface,78,57523,
0.524795,,Surface,78,57524,
0.487666,,Surface,78,57525,
0.722472,,Surface,78,57526,
0.376443,,Surface,78,57527,
0.485156,,Surface,78,57528,
0.254128,,Surface,78,57529,
0.345419,,Surface,78,57530,
0.459206,,Surface,78,57531,
0.375952,,Surface,78,57532,
0.26884,,Surface,78,57533,
0.38307,,Surface,78,57534,
0.431883,,Surface,78,57535,
0.409728,,Surface,78,57536,
0.293843,,Surface,78,57537,
0.317077,,Surface,78,57538,
0.49418,,Surface,78,57539,
0.339895,,Surface,79,57540,
0.366449,,Surface,79,57541,
0.43622,,Surface,79,57542,
0.419591,,Surface,79,57543,
0.334846,,Surface,79,57544,
0.15488,,Surface,79,57545,
0.346075,,Surface,79,57546,
0.307017,,Surface,79,57547,
0.271996,,Surface,79,57548,
0.330974,,Surface,79,57549,
0.24626,,Surface,79,57550,
0.289474,,Surface,79,57551,
0.211195,,Surface,79,57552,
0.190919,,Surface,79,57553,
0.160231,,Surface,79,57554,
0.215902,,Surface,79,57555,
0.277955,,Surface,79,57556,
0.73058,,Surface,79,57557,
0.160382,,Surface,79,57558,
0.330233,,Surface,79,57559,
0.32795,,Surface,79,57560,
0.385013,,Surface,79,57561,
0.196004,,Surface,79,57562,
0.504218,,Surface,79,57563,
0.471499,,Surface,79,57564,
0.481869,,Surface,79,57565,
0.366741,,Surface,79,57566,
0.557196,,Surface,79,57567,
0.235562,,Surface,79,57568,
0.456133,,Surface,79,57569,
0.411079,,Surface,79,57570,
0.382161,,Surface,79,57571,
0.278855,,Surface,79,57572,
0.340202,,Surface,79,57573,
0.465475,,Surface,79,57574,
0.38382,,Surface,79,57575,
0.409871,,Surface,79,57576,
0.334268,,Surface,79,57577,
0.488814,,Surface,79,57578,
0.325275,,Surface,80,57579,
0.504422,,Surface,80,57580,
0.332028,,Surface,80,57581,
0.390843,,Surface,80,57582,
0.409284,,Surface,80,57583,
0.306808,,Surface,80,57584,
0.371138,,Surface,80,57585,
0.346987,,Surface,80,57586,
0.516774,,Surface,80,57587,
0.243624,,Surface,80,57588,
0.181266,,Surface,80,57589,
0.247487,,Surface,80,57590,
0.170239,,Surface,80,57591,
0.220684,,Surface,80,57592,
0.327543,,Surface,80,57593,
0.691489,,Surface,80,57594,
0.240925,,Surface,80,57595,
0.398521,,Surface,80,57596,
0.332849,,Surface,80,57597,
0.494882,,Surface,80,57598,
0.415905,,Surface,80,57599,
0.351262,,Surface,80,57600,
0.239612,,Surface,80,57601,
0.336526,,Surface,80,57602,
0.525936,,Surface,80,57603,
0.458868,,Surface,80,57604,
0.230129,,Surface,80,57605,
0.42009,,Surface,80,57606,
0.269773,,Surface,80,57607,
0.402506,,Surface,80,57608,
0.409752,,Surface,80,57609,
0.481956,,Surface,80,57610,
0.461238,,Surface,80,57611,
0.316547,,Surface,80,57612,
0.479449,,Surface,80,57613,
0.330335,,Surface,80,57614,
0.46853,,Surface,80,57615,
0.323715,,Surface,81,57616,
0.339704,,Surface,81,57617,
0.290709,,Surface,81,57618,
0.547534,,Surface,81,57619,
0.452821,,Surface,81,57620,
0.341039,,Surface,81,57621,
0.266252,,Surface,81,57622,
0.420787,,Surface,81,57623,
0.346479,,Surface,81,57624,
0.496924,,Surface,81,57625,
0.258159,,Surface,81,57626,
0.197414,,Surface,81,57627,
0.230209,,Surface,81,57628,
0.137993,,Surface,81,57629,
0.666442,,Surface,81,57630,
0.310515,,Surface,81,57631,
0.126311,,Surface,81,57632,
0.223725,,Surface,81,57633,
0.339977,,Surface,81,57634,
0.315407,,Surface,81,57635,
0.353163,,Surface,81,57636,
0.478444,,Surface,81,57637,
