
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,TrackID,ID,
10.8588,12.6866,13.2963,um,Surface,BoundingBoxOO Length,2,1000224518,224639,
11.3549,12.2843,13.7228,um,Surface,BoundingBoxOO Length,2,1000224523,224640,
13.0785,14.3588,14.6074,um,Surface,BoundingBoxOO Length,2,1000224525,224641,
11.6519,12.4537,13.5626,um,Surface,BoundingBoxOO Length,2,1000224524,224642,
11.9759,13.6958,14.211,um,Surface,BoundingBoxOO Length,2,1000224522,224643,
11.9253,12.803,13.6458,um,Surface,BoundingBoxOO Length,2,1000224526,224644,
10.4093,11.9569,13.8271,um,Surface,BoundingBoxOO Length,2,1000224527,224645,
12.5855,15.0039,19.1406,um,Surface,BoundingBoxOO Length,2,1000224528,224646,
10.4626,11.0913,16.0272,um,Surface,BoundingBoxOO Length,2,1000224531,224647,
10.1985,12.5546,16.4818,um,Surface,BoundingBoxOO Length,2,1000224530,224648,
11.0351,12.7013,14.6415,um,Surface,BoundingBoxOO Length,2,1000224532,224649,
12.9379,12.3533,14.1212,um,Surface,BoundingBoxOO Length,2,1000224534,224650,
13.4047,13.5941,18.5232,um,Surface,BoundingBoxOO Length,2,1000224529,224651,
10.5954,13.1484,13.9681,um,Surface,BoundingBoxOO Length,2,1000224535,224652,
12.6525,15.4178,13.5655,um,Surface,BoundingBoxOO Length,2,1000224533,224653,
10.6574,10.7656,13.7948,um,Surface,BoundingBoxOO Length,2,1000224538,224654,
14.1813,14.2182,14.7113,um,Surface,BoundingBoxOO Length,2,1000224537,224655,
11.3139,11.9131,16.8542,um,Surface,BoundingBoxOO Length,2,1000224539,224656,
9.99524,11.2528,12.7358,um,Surface,BoundingBoxOO Length,2,1000224541,224657,
10.7826,14.0171,13.7002,um,Surface,BoundingBoxOO Length,2,1000224536,224658,
9.48465,10.4205,12.7686,um,Surface,BoundingBoxOO Length,2,1000224542,224659,
11.1877,12.0108,13.2387,um,Surface,BoundingBoxOO Length,2,1000224543,224660,
12.4296,13.7276,13.5755,um,Surface,BoundingBoxOO Length,2,1000224540,224661,
5.90049,7.06932,6.23467,um,Surface,BoundingBoxOO Length,2,1000224548,224662,
10.3738,11.1399,13.7357,um,Surface,BoundingBoxOO Length,2,1000224545,224663,
12.0673,12.2807,13.0697,um,Surface,BoundingBoxOO Length,2,1000224546,224664,
10.6859,12.3863,12.0536,um,Surface,BoundingBoxOO Length,2,1000224552,224665,
11.0682,12.0099,11.5911,um,Surface,BoundingBoxOO Length,2,1000224547,224666,
11.0282,12.156,12.7026,um,Surface,BoundingBoxOO Length,2,1000224549,224667,
10.9892,11.1095,14.4568,um,Surface,BoundingBoxOO Length,2,1000224544,224668,
10.0262,10.35,11.174,um,Surface,BoundingBoxOO Length,2,1000224550,224669,
10.049,10.5733,11.7172,um,Surface,BoundingBoxOO Length,2,1000224551,224670,
10.7462,11.9065,13.2563,um,Surface,BoundingBoxOO Length,2,1000224553,224671,
10.349,12.5361,14.7397,um,Surface,BoundingBoxOO Length,2,1000224558,224672,
11.9014,11.6518,13.7222,um,Surface,BoundingBoxOO Length,2,1000224554,224673,
9.72964,10.2567,10.7039,um,Surface,BoundingBoxOO Length,2,1000224674,224674,
13.5912,13.4913,15.5686,um,Surface,BoundingBoxOO Length,2,1000224557,224675,
13.9541,14.6571,15.9908,um,Surface,BoundingBoxOO Length,2,1000224555,224676,
10.5194,11.8319,12.0759,um,Surface,BoundingBoxOO Length,2,1000224563,224677,
11.4565,14.5603,15.2277,um,Surface,BoundingBoxOO Length,2,1000224559,224678,
11.4523,13.4181,13.3104,um,Surface,BoundingBoxOO Length,2,1000224556,224679,
12.2831,11.7737,13.4537,um,Surface,BoundingBoxOO Length,2,1000224561,224680,
11.0627,13.5332,13.6026,um,Surface,BoundingBoxOO Length,2,1000224560,224681,
11.4058,13.769,16.505,um,Surface,BoundingBoxOO Length,2,1000224562,224682,
10.2127,11.6446,13.6421,um,Surface,BoundingBoxOO Length,2,1000224565,224683,
9.85877,15.0895,17.1584,um,Surface,BoundingBoxOO Length,2,1000224564,224684,
11.3426,12.734,18.0852,um,Surface,BoundingBoxOO Length,2,1000224566,224685,
10.198,13.3685,13.6531,um,Surface,BoundingBoxOO Length,2,1000224567,224686,
13.6578,13.696,14.847,um,Surface,BoundingBoxOO Length,2,1000224569,224687,
13.1688,12.3754,14.1394,um,Surface,BoundingBoxOO Length,2,1000224570,224688,
10.4272,10.7022,12.5405,um,Surface,BoundingBoxOO Length,2,1000224571,224689,
10.4894,10.807,13.0743,um,Surface,BoundingBoxOO Length,2,1000224572,224690,
6.80402,12.0856,12.8861,um,Surface,BoundingBoxOO Length,2,1000224573,224691,
14.0998,14.5293,17.0964,um,Surface,BoundingBoxOO Length,2,1000224568,224692,
6.05066,6.65916,7.73936,um,Surface,BoundingBoxOO Length,2,1000224693,224693,
6.64155,11.1777,13.1977,um,Surface,BoundingBoxOO Length,2,1000224574,224694,
11.2032,12.9111,13.2791,um,Surface,BoundingBoxOO Length,2,1000224575,224695,
