
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,TrackID,ID,
17.7123,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224476,224598,
17.7123,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224482,224599,
14.1699,14.1698,11.55,um,Surface,BoundingBoxAA Length,2,1000224483,224600,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224484,224601,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224481,224602,
14.1699,14.1698,12.6,um,Surface,BoundingBoxAA Length,2,1000224486,224603,
14.1699,14.1698,13.65,um,Surface,BoundingBoxAA Length,2,1000224485,224604,
14.1698,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224491,224605,
14.1699,10.6274,19.95,um,Surface,BoundingBoxAA Length,2,1000224489,224606,
14.1698,17.7123,14.7,um,Surface,BoundingBoxAA Length,2,1000224488,224607,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224493,224608,
10.6274,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224490,224609,
17.7123,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224487,224610,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224494,224611,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224495,224612,
10.6274,14.1699,11.55,um,Surface,BoundingBoxAA Length,2,1000224496,224613,
17.7123,21.2548,14.7,um,Surface,BoundingBoxAA Length,2,1000224492,224614,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224502,224615,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224497,224616,
17.7124,21.2548,13.65,um,Surface,BoundingBoxAA Length,2,1000224499,224617,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224501,224618,
17.7124,21.2548,23.1,um,Surface,BoundingBoxAA Length,2,1000224500,224619,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224498,224620,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224504,224621,
14.1699,17.7124,13.65,um,Surface,BoundingBoxAA Length,2,1000224506,224622,
14.1699,17.7123,12.6,um,Surface,BoundingBoxAA Length,2,1000224503,224623,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224505,224624,
14.1699,14.1699,15.75,um,Surface,BoundingBoxAA Length,2,1000224507,224625,
24.7972,17.7123,22.05,um,Surface,BoundingBoxAA Length,2,1000224509,224626,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224508,224627,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224510,224628,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224512,224629,
14.1699,17.7123,14.7,um,Surface,BoundingBoxAA Length,2,1000224511,224630,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224519,224631,
17.7123,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224515,224632,
14.1698,14.1698,12.6,um,Surface,BoundingBoxAA Length,2,1000224517,224633,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224513,224634,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224514,224635,
14.1699,14.1698,18.9,um,Surface,BoundingBoxAA Length,2,1000224521,224636,
10.6274,14.1699,11.55,um,Surface,BoundingBoxAA Length,2,1000224520,224637,
14.1698,17.7123,14.7,um,Surface,BoundingBoxAA Length,2,1000224516,224638,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224518,224639,
17.7123,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224523,224640,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224525,224641,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224524,224642,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224522,224643,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224526,224644,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224527,224645,
17.7123,17.7123,19.95,um,Surface,BoundingBoxAA Length,2,1000224528,224646,
10.6274,17.7124,11.55,um,Surface,BoundingBoxAA Length,2,1000224531,224647,
14.1699,10.6274,17.85,um,Surface,BoundingBoxAA Length,2,1000224530,224648,
14.1699,17.7123,12.6,um,Surface,BoundingBoxAA Length,2,1000224532,224649,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224534,224650,
17.7123,17.7124,13.65,um,Surface,BoundingBoxAA Length,2,1000224529,224651,
10.6274,14.1698,13.65,um,Surface,BoundingBoxAA Length,2,1000224535,224652,
14.1698,17.7123,14.7,um,Surface,BoundingBoxAA Length,2,1000224533,224653,
14.1698,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224538,224654,
14.1698,17.7123,15.75,um,Surface,BoundingBoxAA Length,2,1000224537,224655,
14.1698,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224539,224656,
10.6274,14.1698,12.6,um,Surface,BoundingBoxAA Length,2,1000224541,224657,
14.1699,14.1698,15.75,um,Surface,BoundingBoxAA Length,2,1000224536,224658,
14.1699,10.6274,12.6,um,Surface,BoundingBoxAA Length,2,1000224542,224659,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224543,224660,
14.1699,14.1699,14.7,um,Surface,BoundingBoxAA Length,2,1000224540,224661,
7.08493,10.6274,7.35,um,Surface,BoundingBoxAA Length,2,1000224548,224662,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224545,224663,
14.1699,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224546,224664,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224552,224665,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224547,224666,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224549,224667,
14.1699,17.7123,12.6,um,Surface,BoundingBoxAA Length,2,1000224544,224668,
10.6274,14.1698,12.6,um,Surface,BoundingBoxAA Length,2,1000224550,224669,
10.6274,10.6274,11.55,um,Surface,BoundingBoxAA Length,2,1000224551,224670,
10.6274,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224553,224671,
10.6274,17.7123,13.65,um,Surface,BoundingBoxAA Length,2,1000224558,224672,
14.1699,14.1698,11.55,um,Surface,BoundingBoxAA Length,2,1000224554,224673,
10.6274,10.6274,10.5,um,Surface,BoundingBoxAA Length,2,1000224674,224674,
14.1699,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224557,224675,
14.1699,17.7123,15.75,um,Surface,BoundingBoxAA Length,2,1000224555,224676,
10.6274,14.1698,12.6,um,Surface,BoundingBoxAA Length,2,1000224563,224677,
17.7123,17.7123,15.75,um,Surface,BoundingBoxAA Length,2,1000224559,224678,
10.6274,14.1699,13.65,um,Surface,BoundingBoxAA Length,2,1000224556,224679,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224561,224680,
14.1699,14.1699,12.6,um,Surface,BoundingBoxAA Length,2,1000224560,224681,
