
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,TrackID,ID,
-246.023,208.3,946.617,um,Surface,Ellipsoid Axis C,2,1000224474,224591,
-44.6216,-283.64,957.892,um,Surface,Ellipsoid Axis C,2,1000224475,224592,
382.876,86.5064,919.74,um,Surface,Ellipsoid Axis C,2,1000224472,224593,
68.3645,904.313,421.361,um,Surface,Ellipsoid Axis C,2,1000224477,224594,
-25.8561,-161.237,986.577,um,Surface,Ellipsoid Axis C,2,1000224478,224595,
-767.121,99.1395,-633.795,um,Surface,Ellipsoid Axis C,2,1000224479,224596,
47.4327,482.239,874.755,um,Surface,Ellipsoid Axis C,2,1000224480,224597,
163.207,-208.342,964.343,um,Surface,Ellipsoid Axis C,2,1000224476,224598,
738.825,-523.83,423.957,um,Surface,Ellipsoid Axis C,2,1000224482,224599,
-749.204,-577.029,325.163,um,Surface,Ellipsoid Axis C,2,1000224483,224600,
-55.6104,321.87,-945.149,um,Surface,Ellipsoid Axis C,2,1000224484,224601,
76.1874,661.47,746.092,um,Surface,Ellipsoid Axis C,2,1000224481,224602,
37.5615,-457.575,888.377,um,Surface,Ellipsoid Axis C,2,1000224486,224603,
214.673,50.3012,975.39,um,Surface,Ellipsoid Axis C,2,1000224485,224604,
754.058,603.352,-259.544,um,Surface,Ellipsoid Axis C,2,1000224491,224605,
339.328,129.364,931.73,um,Surface,Ellipsoid Axis C,2,1000224489,224606,
246.241,-162.685,955.458,um,Surface,Ellipsoid Axis C,2,1000224488,224607,
-333.259,-455.072,825.74,um,Surface,Ellipsoid Axis C,2,1000224493,224608,
-22.2574,-2.85161,999.748,um,Surface,Ellipsoid Axis C,2,1000224490,224609,
-267.028,12.5748,963.607,um,Surface,Ellipsoid Axis C,2,1000224487,224610,
-223.894,-496.62,838.594,um,Surface,Ellipsoid Axis C,2,1000224494,224611,
-63.0013,578.492,-813.251,um,Surface,Ellipsoid Axis C,2,1000224495,224612,
-114.7,826.743,550.764,um,Surface,Ellipsoid Axis C,2,1000224496,224613,
240.323,928.027,284.623,um,Surface,Ellipsoid Axis C,2,1000224492,224614,
235.05,161.962,958.394,um,Surface,Ellipsoid Axis C,2,1000224502,224615,
-367.84,560.081,742.296,um,Surface,Ellipsoid Axis C,2,1000224497,224616,
-293.146,-955.192,40.912,um,Surface,Ellipsoid Axis C,2,1000224499,224617,
158.249,630.45,759.928,um,Surface,Ellipsoid Axis C,2,1000224501,224618,
-322.451,-58.4843,944.778,um,Surface,Ellipsoid Axis C,2,1000224500,224619,
29.5056,-305.163,-951.843,um,Surface,Ellipsoid Axis C,2,1000224498,224620,
-29.0206,-282.24,958.905,um,Surface,Ellipsoid Axis C,2,1000224504,224621,
-357.015,-308.027,881.85,um,Surface,Ellipsoid Axis C,2,1000224506,224622,
238.545,78.8207,967.927,um,Surface,Ellipsoid Axis C,2,1000224503,224623,
421.163,-67.1777,904.494,um,Surface,Ellipsoid Axis C,2,1000224505,224624,
-219.113,-150.044,964.094,um,Surface,Ellipsoid Axis C,2,1000224507,224625,
-611.462,188.634,768.46,um,Surface,Ellipsoid Axis C,2,1000224509,224626,
-287.289,162.841,943.9,um,Surface,Ellipsoid Axis C,2,1000224508,224627,
129,294.721,946.836,um,Surface,Ellipsoid Axis C,2,1000224510,224628,
-180.306,488.668,853.635,um,Surface,Ellipsoid Axis C,2,1000224512,224629,
-182.431,-91.7063,978.932,um,Surface,Ellipsoid Axis C,2,1000224511,224630,
255.623,736.134,626.709,um,Surface,Ellipsoid Axis C,2,1000224519,224631,
-835.219,-461.579,298.922,um,Surface,Ellipsoid Axis C,2,1000224515,224632,
202.859,483.303,-851.625,um,Surface,Ellipsoid Axis C,2,1000224517,224633,
-66.6061,445.515,-892.793,um,Surface,Ellipsoid Axis C,2,1000224513,224634,
255.527,37.3884,966.079,um,Surface,Ellipsoid Axis C,2,1000224514,224635,
252.346,-184.839,949.819,um,Surface,Ellipsoid Axis C,2,1000224521,224636,
66.3971,288.753,955.098,um,Surface,Ellipsoid Axis C,2,1000224520,224637,
20.2473,648.942,760.568,um,Surface,Ellipsoid Axis C,2,1000224516,224638,
503.034,-735.793,453.393,um,Surface,Ellipsoid Axis C,2,1000224518,224639,
182.777,-166.494,968.954,um,Surface,Ellipsoid Axis C,2,1000224523,224640,
-368.061,247.232,896.33,um,Surface,Ellipsoid Axis C,2,1000224525,224641,
595.61,114.921,795.011,um,Surface,Ellipsoid Axis C,2,1000224524,224642,
-116.586,637.349,761.705,um,Surface,Ellipsoid Axis C,2,1000224522,224643,
-34.0111,327.895,-944.102,um,Surface,Ellipsoid Axis C,2,1000224526,224644,
-61.1234,650.242,757.264,um,Surface,Ellipsoid Axis C,2,1000224527,224645,
229.779,-221.817,947.628,um,Surface,Ellipsoid Axis C,2,1000224528,224646,
-240.965,-950.328,197.01,um,Surface,Ellipsoid Axis C,2,1000224531,224647,
-238.945,24.5214,970.723,um,Surface,Ellipsoid Axis C,2,1000224530,224648,
-0.885569,-883.168,469.056,um,Surface,Ellipsoid Axis C,2,1000224532,224649,
342.577,128.616,930.644,um,Surface,Ellipsoid Axis C,2,1000224534,224650,
-782.522,611.86,115.269,um,Surface,Ellipsoid Axis C,2,1000224529,224651,
37.0155,-250.884,967.309,um,Surface,Ellipsoid Axis C,2,1000224535,224652,
180.763,233.049,955.517,um,Surface,Ellipsoid Axis C,2,1000224533,224653,
5.5497,806.854,590.725,um,Surface,Ellipsoid Axis C,2,1000224538,224654,
57.7554,-147.18,987.422,um,Surface,Ellipsoid Axis C,2,1000224537,224655,
228.107,-973.565,11.7385,um,Surface,Ellipsoid Axis C,2,1000224539,224656,
-101.492,-930.119,-352.956,um,Surface,Ellipsoid Axis C,2,1000224541,224657,
9.61573,52.1866,998.591,um,Surface,Ellipsoid Axis C,2,1000224536,224658,
-753.878,224.425,617.495,um,Surface,Ellipsoid Axis C,2,1000224542,224659,
704.421,86.9889,704.432,um,Surface,Ellipsoid Axis C,2,1000224543,224660,
250.776,397.104,882.848,um,Surface,Ellipsoid Axis C,2,1000224540,224661,
0,794.831,606.83,um,Surface,Ellipsoid Axis C,2,1000224548,224662,
35.1858,650.187,758.959,um,Surface,Ellipsoid Axis C,2,1000224545,224663,
88.7731,493.863,864.997,um,Surface,Ellipsoid Axis C,2,1000224546,224664,
