
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
3.58881,um,Surface,72,1000234024,235738,
0.84806,um,Surface,72,1000224474,235739,
0.308612,um,Surface,72,1000224480,235740,
3.30119,um,Surface,72,1000224486,235741,
1.23007,um,Surface,72,1000229314,235742,
2.87639,um,Surface,72,1000224475,235743,
0.923388,um,Surface,72,1000232319,235744,
4.1381,um,Surface,72,1000224483,235745,
1.7412,um,Surface,72,1000224476,235746,
2.66392,um,Surface,72,1000226336,235747,
2.13827,um,Surface,72,1000226044,235748,
1.86158,um,Surface,72,1000224491,235749,
3.73148,um,Surface,72,1000229808,235750,
5.30508,um,Surface,72,1000224481,235751,
0.934315,um,Surface,72,1000227400,235752,
4.11115,um,Surface,72,1000224485,235753,
0.676092,um,Surface,72,1000224482,235754,
1.13279,um,Surface,72,1000230137,235755,
5.672,um,Surface,72,1000224840,235756,
2.7131,um,Surface,72,1000224488,235757,
2.58115,um,Surface,72,1000227233,235758,
1.95045,um,Surface,72,1000231813,235759,
6.0582,um,Surface,72,1000234726,235760,
0.998518,um,Surface,72,1000224489,235761,
1.01281,um,Surface,72,1000224490,235762,
2.28651,um,Surface,72,1000225093,235763,
1.15843,um,Surface,72,1000224493,235764,
1.70078,um,Surface,72,1000224487,235765,
0.656818,um,Surface,72,1000231654,235766,
0.79628,um,Surface,72,1000230629,235767,
6.69687,um,Surface,72,1000228532,235768,
1.37491,um,Surface,72,1000225660,235769,
2.0316,um,Surface,72,1000224494,235770,
1.87255,um,Surface,72,1000224502,235771,
3.84357,um,Surface,72,1000224495,235772,
3.01981,um,Surface,72,1000224510,235773,
6.93998,um,Surface,72,1000224504,235774,
2.34705,um,Surface,72,1000226074,235775,
4.17181,um,Surface,72,1000224492,235776,
0.520655,um,Surface,72,1000224501,235777,
8.75781,um,Surface,72,1000226826,235778,
3.46081,um,Surface,72,1000224506,235779,
1.62068,um,Surface,72,1000228208,235780,
0.523914,um,Surface,72,1000224505,235781,
1.86836,um,Surface,72,1000224503,235782,
0.604319,um,Surface,72,1000224508,235783,
4.77875,um,Surface,72,1000224496,235784,
2.66981,um,Surface,72,1000224513,235785,
0.417791,um,Surface,72,1000224515,235786,
2.55568,um,Surface,72,1000224512,235787,
3.06867,um,Surface,72,1000224507,235788,
0.8366,um,Surface,72,1000234078,235789,
2.03279,um,Surface,72,1000225008,235790,
2.70744,um,Surface,72,1000224517,235791,
3.31408,um,Surface,72,1000224516,235792,
1.03087,um,Surface,72,1000224511,235793,
1.47921,um,Surface,72,1000224518,235794,
3.8526,um,Surface,72,1000226515,235795,
5.2346,um,Surface,72,1000229855,235796,
11.5801,um,Surface,72,1000224514,235797,
2.42672,um,Surface,72,1000224522,235798,
0.886101,um,Surface,72,1000224509,235799,
8.45366,um,Surface,72,1000224771,235800,
0.92461,um,Surface,72,1000224528,235801,
0.557315,um,Surface,72,1000224520,235802,
2.31482,um,Surface,72,1000226081,235803,
0.90031,um,Surface,72,1000224525,235804,
1.73593,um,Surface,72,1000224531,235805,
0.6164,um,Surface,72,1000225970,235806,
3.08043,um,Surface,72,1000226996,235807,
2.54608,um,Surface,72,1000224524,235808,
2.11739,um,Surface,72,1000224529,235809,
1.64323,um,Surface,72,1000224532,235810,
2.24942,um,Surface,72,1000224527,235811,
0.967384,um,Surface,72,1000224526,235812,
0.965487,um,Surface,72,1000227755,235813,
1.49191,um,Surface,72,1000224519,235814,
1.19286,um,Surface,72,1000224533,235815,
0.570181,um,Surface,72,1000224535,235816,
