
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.513014,,Surface,300,1000261272,266892,
0.475377,,Surface,300,1000263155,266893,
0.681941,,Surface,300,1000262231,266894,
0.411722,,Surface,300,1000255599,266895,
0.606479,,Surface,300,1000260069,266896,
0.19777,,Surface,300,1000224568,266897,
0.328291,,Surface,300,1000224940,266898,
0.446405,,Surface,300,1000224559,266899,
0.411139,,Surface,300,1000247113,266900,
0.566531,,Surface,300,1000250231,266901,
0.278227,,Surface,300,1000248436,266902,
0.301911,,Surface,300,1000248444,266903,
0.281281,,Surface,301,1000224473,266904,
0.743281,,Surface,301,1000260758,266905,
0.456077,,Surface,301,1000228485,266906,
0.378306,,Surface,301,1000257942,266907,
0.316826,,Surface,301,1000262358,266908,
0.362972,,Surface,301,1000226759,266909,
0.579243,,Surface,301,1000258922,266910,
0.270627,,Surface,301,1000224463,266911,
0.319825,,Surface,301,1000266437,266912,
0.221485,,Surface,301,1000260645,266913,
0.391519,,Surface,301,1000225621,266914,
0.695417,,Surface,301,1000259637,266915,
0.376617,,Surface,301,1000241014,266916,
0.559509,,Surface,301,1000257204,266917,
0.358483,,Surface,301,1000243967,266918,
0.334444,,Surface,301,1000224474,266919,
0.438083,,Surface,301,1000266920,266920,
0.310277,,Surface,301,1000265682,266921,
0.320598,,Surface,301,1000239472,266922,
0.393752,,Surface,301,1000238432,266923,
0.425487,,Surface,301,1000264618,266924,
0.734928,,Surface,301,1000224486,266925,
0.13792,,Surface,301,1000234024,266926,
0.517796,,Surface,301,1000241906,266927,
0.428291,,Surface,301,1000253792,266928,
0.251895,,Surface,301,1000266765,266929,
0.475348,,Surface,301,1000260331,266930,
0.579238,,Surface,301,1000254226,266931,
0.28875,,Surface,301,1000264627,266932,
0.476641,,Surface,301,1000226074,266933,
0.366296,,Surface,301,1000264536,266934,
0.280717,,Surface,301,1000224505,266935,
0.293158,,Surface,301,1000263392,266936,
0.520697,,Surface,301,1000226515,266937,
0.36227,,Surface,301,1000228532,266938,
0.26835,,Surface,301,1000224512,266939,
0.526327,,Surface,301,1000266698,266940,
0.626788,,Surface,301,1000251530,266941,
0.0986097,,Surface,301,1000234078,266942,
0.317684,,Surface,301,1000260805,266943,
0.364842,,Surface,301,1000224507,266944,
0.170059,,Surface,301,1000264276,266945,
0.422681,,Surface,301,1000224525,266946,
0.331023,,Surface,301,1000250170,266947,
0.432635,,Surface,301,1000224533,266948,
0.458169,,Surface,301,1000224543,266949,
0.349133,,Surface,301,1000238489,266950,
0.373977,,Surface,301,1000258389,266951,
0.459105,,Surface,301,1000258251,266952,
0.392409,,Surface,301,1000255008,266953,
0.307107,,Surface,301,1000224534,266954,
0.378464,,Surface,301,1000226406,266955,
0.759309,,Surface,301,1000225028,266956,
0.24357,,Surface,301,1000224535,266957,
0.40119,,Surface,301,1000224539,266958,
0.303305,,Surface,301,1000261378,266959,
0.43578,,Surface,301,1000224540,266960,
