
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,TrackID,ID,
-985.48,52.884,161.345,um,Surface,Ellipsoid Axis A,2,1000224501,224618,
-732.74,-616.448,-288.243,um,Surface,Ellipsoid Axis A,2,1000224500,224619,
942.039,-309.897,128.555,um,Surface,Ellipsoid Axis A,2,1000224498,224620,
996.916,61.8074,48.3631,um,Surface,Ellipsoid Axis A,2,1000224504,224621,
14.4624,942.129,334.937,um,Surface,Ellipsoid Axis A,2,1000224506,224622,
684.275,-720.89,-109.935,um,Surface,Ellipsoid Axis A,2,1000224503,224623,
-707.329,-648.551,281.188,um,Surface,Ellipsoid Axis A,2,1000224505,224624,
607.567,-794.136,14.4914,um,Surface,Ellipsoid Axis A,2,1000224507,224625,
506.074,839.799,196.537,um,Surface,Ellipsoid Axis A,2,1000224509,224626,
916.618,332.736,221.581,um,Surface,Ellipsoid Axis A,2,1000224508,224627,
-503.995,-802.814,318.557,um,Surface,Ellipsoid Axis A,2,1000224510,224628,
962.807,265.228,51.5342,um,Surface,Ellipsoid Axis A,2,1000224512,224629,
-965.979,-168.913,-195.841,um,Surface,Ellipsoid Axis A,2,1000224511,224630,
-756.771,555.764,-344.129,um,Surface,Ellipsoid Axis A,2,1000224519,224631,
-328.648,-16.8551,-944.302,um,Surface,Ellipsoid Axis A,2,1000224515,224632,
-977.731,52.2236,-203.26,um,Surface,Ellipsoid Axis A,2,1000224517,224633,
984.136,-118.132,-132.37,um,Surface,Ellipsoid Axis A,2,1000224513,224634,
-568.391,814.132,118.831,um,Surface,Ellipsoid Axis A,2,1000224514,224635,
605.127,796.107,-5.84296,um,Surface,Ellipsoid Axis A,2,1000224521,224636,
943.998,-328.235,33.6094,um,Surface,Ellipsoid Axis A,2,1000224520,224637,
999.462,-32.781,1.36298,um,Surface,Ellipsoid Axis A,2,1000224516,224638,
522.457,676.78,518.659,um,Surface,Ellipsoid Axis A,2,1000224518,224639,
-980.405,42.7886,192.29,um,Surface,Ellipsoid Axis A,2,1000224523,224640,
708.833,698.478,98.4096,um,Surface,Ellipsoid Axis A,2,1000224525,224641,
-587.345,-612.852,528.62,um,Surface,Ellipsoid Axis A,2,1000224524,224642,
-111.16,-770.49,627.685,um,Surface,Ellipsoid Axis A,2,1000224522,224643,
-53.4531,-943.893,-325.897,um,Surface,Ellipsoid Axis A,2,1000224526,224644,
995.022,99.5273,-5.14707,um,Surface,Ellipsoid Axis A,2,1000224527,224645,
536.539,841.226,66.8123,um,Surface,Ellipsoid Axis A,2,1000224528,224646,
967.478,-251.301,-28.8812,um,Surface,Ellipsoid Axis A,2,1000224531,224647,
-19.5883,999.356,-30.0664,um,Surface,Ellipsoid Axis A,2,1000224530,224648,
-900.168,204.998,384.284,um,Surface,Ellipsoid Axis A,2,1000224532,224649,
377.539,-925.928,-11.0106,um,Surface,Ellipsoid Axis A,2,1000224534,224650,
622.385,773.822,117.627,um,Surface,Ellipsoid Axis A,2,1000224529,224651,
996.398,83.1699,-16.5575,um,Surface,Ellipsoid Axis A,2,1000224535,224652,
-980.118,-38.1326,194.718,um,Surface,Ellipsoid Axis A,2,1000224533,224653,
999.43,15.2003,-30.151,um,Surface,Ellipsoid Axis A,2,1000224538,224654,
494.605,-854.937,-156.363,um,Surface,Ellipsoid Axis A,2,1000224537,224655,
-951.929,-220.474,212.654,um,Surface,Ellipsoid Axis A,2,1000224539,224656,
991.252,-64.457,-115.174,um,Surface,Ellipsoid Axis A,2,1000224541,224657,
999.515,29.0929,-11.145,um,Surface,Ellipsoid Axis A,2,1000224536,224658,
-348.317,-933.424,-85.9998,um,Surface,Ellipsoid Axis A,2,1000224542,224659,
204.008,-975.397,-83.5547,um,Surface,Ellipsoid Axis A,2,1000224543,224660,
578.734,-792.567,192.104,um,Surface,Ellipsoid Axis A,2,1000224540,224661,
1000,0,0,um,Surface,Ellipsoid Axis A,2,1000224548,224662,
997.733,-66.4502,10.6712,um,Surface,Ellipsoid Axis A,2,1000224545,224663,
953.552,208.829,-217.091,um,Surface,Ellipsoid Axis A,2,1000224546,224664,
955.743,-289.644,-51.5851,um,Surface,Ellipsoid Axis A,2,1000224552,224665,
599.546,-762.426,243.415,um,Surface,Ellipsoid Axis A,2,1000224547,224666,
-961.068,142.58,-236.682,um,Surface,Ellipsoid Axis A,2,1000224549,224667,
923.568,383.07,16.7264,um,Surface,Ellipsoid Axis A,2,1000224544,224668,
969.377,238.08,-60.2212,um,Surface,Ellipsoid Axis A,2,1000224550,224669,
-705.737,-705.727,62.3266,um,Surface,Ellipsoid Axis A,2,1000224551,224670,
997.413,70.0833,-15.9871,um,Surface,Ellipsoid Axis A,2,1000224553,224671,
992.698,-111.053,47.0937,um,Surface,Ellipsoid Axis A,2,1000224558,224672,
857.408,-415.263,303.988,um,Surface,Ellipsoid Axis A,2,1000224554,224673,
-680.762,-680.74,270.473,um,Surface,Ellipsoid Axis A,2,1000224674,224674,
-437.609,-866.302,-240.873,um,Surface,Ellipsoid Axis A,2,1000224557,224675,
978.738,-179.098,-99.9826,um,Surface,Ellipsoid Axis A,2,1000224555,224676,
998.617,35.2414,39.0256,um,Surface,Ellipsoid Axis A,2,1000224563,224677,
-400.429,-769.86,496.963,um,Surface,Ellipsoid Axis A,2,1000224559,224678,
992.156,-49.4896,114.795,um,Surface,Ellipsoid Axis A,2,1000224556,224679,
-951.094,250.349,180.959,um,Surface,Ellipsoid Axis A,2,1000224561,224680,
182.683,915.724,357.878,um,Surface,Ellipsoid Axis A,2,1000224560,224681,
988.378,-137.043,65.783,um,Surface,Ellipsoid Axis A,2,1000224562,224682,
-183.715,-496.882,848.149,um,Surface,Ellipsoid Axis A,2,1000224565,224683,
999.942,-5.35741,9.33456,um,Surface,Ellipsoid Axis A,2,1000224564,224684,
-968.21,3.5755,-250.111,um,Surface,Ellipsoid Axis A,2,1000224566,224685,
998.908,-28.0347,37.3652,um,Surface,Ellipsoid Axis A,2,1000224567,224686,
145.938,-988.595,37.186,um,Surface,Ellipsoid Axis A,2,1000224569,224687,
864.098,-498.112,72.2362,um,Surface,Ellipsoid Axis A,2,1000224570,224688,
981.307,-79.8512,175.101,um,Surface,Ellipsoid Axis A,2,1000224571,224689,
908.256,-405.491,-103.189,um,Surface,Ellipsoid Axis A,2,1000224572,224690,
-1.74461e-13,-1000,6.99891e-13,um,Surface,Ellipsoid Axis A,2,1000224573,224691,
-932.544,-241.392,268.5,um,Surface,Ellipsoid Axis A,2,1000224568,224692,
-1000,-3.62709e-05,-2.56478e-10,um,Surface,Ellipsoid Axis A,2,1000224693,224693,
1000,-7.35788e-12,1.47118e-11,um,Surface,Ellipsoid Axis A,2,1000224574,224694,
759.101,-631.769,156.953,um,Surface,Ellipsoid Axis A,2,1000224575,224695,
-995.013,-92.7708,36.6553,um,Surface,Ellipsoid Axis A,3,1000224470,224696,
930.353,-362.415,55.6581,um,Surface,Ellipsoid Axis A,3,1000224464,224697,
949.344,-313.528,21.1056,um,Surface,Ellipsoid Axis A,3,1000224465,224698,
998.699,48.9827,14.1666,um,Surface,Ellipsoid Axis A,3,1000224466,224699,
975.631,-210.909,-60.5106,um,Surface,Ellipsoid Axis A,3,1000224467,224700,
-26.2959,-354.583,934.655,um,Surface,Ellipsoid Axis A,3,1000224701,224701,
-856.618,-501.194,122.516,um,Surface,Ellipsoid Axis A,3,1000224458,224702,
522.806,-852.433,5.68914,um,Surface,Ellipsoid Axis A,3,1000224459,224703,
-546.261,811.637,206.992,um,Surface,Ellipsoid Axis A,3,1000224461,224704,
839.88,-519.726,-156.478,um,Surface,Ellipsoid Axis A,3,1000224460,224705,
-876.993,-444.809,-181.738,um,Surface,Ellipsoid Axis A,3,1000224462,224706,
-194.238,498.173,-845.041,um,Surface,Ellipsoid Axis A,3,1000224463,224707,
987.352,-146.944,-59.5356,um,Surface,Ellipsoid Axis A,3,1000224473,224708,
986.223,-141.434,-85.7983,um,Surface,Ellipsoid Axis A,3,1000224469,224709,
-9.46228,926.884,375.228,um,Surface,Ellipsoid Axis A,3,1000224468,224710,
83.2276,-793.837,-602.409,um,Surface,Ellipsoid Axis A,3,1000224477,224711,
988.16,79.8582,-131.006,um,Surface,Ellipsoid Axis A,3,1000224472,224712,
-433.386,-862.366,261.728,um,Surface,Ellipsoid Axis A,3,1000224471,224713,
210.126,-962.109,-173.763,um,Surface,Ellipsoid Axis A,3,1000224474,224714,
-958.997,112.015,-260.339,um,Surface,Ellipsoid Axis A,3,1000224475,224715,
358.006,-840.257,-407.186,um,Surface,Ellipsoid Axis A,3,1000224479,224716,
897.5,435.623,-68.7487,um,Surface,Ellipsoid Axis A,3,1000224480,224717,
-554.926,718.887,-418.638,um,Surface,Ellipsoid Axis A,3,1000224476,224718,
555.099,795.054,244.445,um,Surface,Ellipsoid Axis A,3,1000224484,224719,
993.156,-103.144,54.8015,um,Surface,Ellipsoid Axis A,3,1000224478,224720,
-664.899,592.462,454.861,um,Surface,Ellipsoid Axis A,3,1000224486,224721,
938.146,96.1149,-332.631,um,Surface,Ellipsoid Axis A,3,1000224482,224722,
-41.1783,992.759,112.843,um,Surface,Ellipsoid Axis A,3,1000224483,224723,
538.071,-680.926,-496.809,um,Surface,Ellipsoid Axis A,3,1000224488,224724,
990.728,-134.517,19.0563,um,Surface,Ellipsoid Axis A,3,1000224485,224725,
-961.639,241.519,130.071,um,Surface,Ellipsoid Axis A,3,1000224481,224726,
-902.93,-259.364,-342.707,um,Surface,Ellipsoid Axis A,3,1000224490,224727,
-724.858,663.84,184.112,um,Surface,Ellipsoid Axis A,3,1000224487,224728,
937.823,-346.404,-22.1822,um,Surface,Ellipsoid Axis A,3,1000224491,224729,
141.613,-986.576,81.3233,um,Surface,Ellipsoid Axis A,3,1000224489,224730,
-832.898,216.37,509.378,um,Surface,Ellipsoid Axis A,3,1000224492,224731,
-462.632,-605.162,-647.882,um,Surface,Ellipsoid Axis A,3,1000224493,224732,
186.201,964.747,185.99,um,Surface,Ellipsoid Axis A,3,1000224496,224733,
859.656,497.899,114.4,um,Surface,Ellipsoid Axis A,3,1000224494,224734,
788.654,345.947,508.277,um,Surface,Ellipsoid Axis A,3,1000224500,224735,
443.343,-871.442,209.846,um,Surface,Ellipsoid Axis A,3,1000224499,224736,
999.872,-3.24454,-15.6657,um,Surface,Ellipsoid Axis A,3,1000224502,224737,
999.153,32.2882,-25.5187,um,Surface,Ellipsoid Axis A,3,1000224497,224738,
194.654,-970.802,140.192,um,Surface,Ellipsoid Axis A,3,1000224495,224739,
-989.703,-110.219,91.3236,um,Surface,Ellipsoid Axis A,3,1000224506,224740,
995.821,83.2518,-37.549,um,Surface,Ellipsoid Axis A,3,1000224501,224741,
897.746,-419.97,132.954,um,Surface,Ellipsoid Axis A,3,1000224498,224742,
-500.032,656.14,-565.198,um,Surface,Ellipsoid Axis A,3,1000224503,224743,
-296.719,-913.726,277.602,um,Surface,Ellipsoid Axis A,3,1000224504,224744,
910.641,-226.11,345.844,um,Surface,Ellipsoid Axis A,3,1000224505,224745,
364.705,931.12,-2.50154,um,Surface,Ellipsoid Axis A,3,1000224509,224746,
-552.312,-752.032,359.722,um,Surface,Ellipsoid Axis A,3,1000224508,224747,
866.069,-499.923,1.40386,um,Surface,Ellipsoid Axis A,3,1000224511,224748,
200.429,-151.137,-967.98,um,Surface,Ellipsoid Axis A,3,1000224515,224749,
177.388,-889.15,421.836,um,Surface,Ellipsoid Axis A,3,1000224512,224750,
995.639,-93.273,1.86754,um,Surface,Ellipsoid Axis A,3,1000224507,224751,
998.636,30.1799,-42.6176,um,Surface,Ellipsoid Axis A,3,1000224519,224752,
997.295,-70.3023,21.4548,um,Surface,Ellipsoid Axis A,3,1000224514,224753,
554.58,832.052,-11.39,um,Surface,Ellipsoid Axis A,3,1000224510,224754,
