
Area
 ==================== 
Area,Unit,Category,Time,ID,
1278.24,um^2,Surface,16,75695,
7360.37,um^2,Surface,16,75696,
1724.43,um^2,Surface,16,75697,
1865.26,um^2,Surface,16,75698,
1534.11,um^2,Surface,16,75699,
10522.5,um^2,Surface,16,75700,
5935.04,um^2,Surface,16,75701,
10163.9,um^2,Surface,16,75702,
7220.37,um^2,Surface,16,75703,
1138.19,um^2,Surface,16,75704,
8153.89,um^2,Surface,16,75705,
7252.19,um^2,Surface,16,75706,
10852.3,um^2,Surface,16,75707,
6255.7,um^2,Surface,16,75708,
4889.1,um^2,Surface,16,75709,
9694.58,um^2,Surface,16,75710,
2508,um^2,Surface,16,75711,
10483.4,um^2,Surface,16,75712,
3042.44,um^2,Surface,16,75713,
5267.76,um^2,Surface,16,75714,
1205.25,um^2,Surface,16,75715,
2176.23,um^2,Surface,16,75716,
4320.4,um^2,Surface,16,75717,
19247.4,um^2,Surface,16,75718,
3885.26,um^2,Surface,16,75719,
11114.6,um^2,Surface,16,75720,
9075.37,um^2,Surface,16,75721,
5761.78,um^2,Surface,16,75722,
11611.8,um^2,Surface,16,75723,
7375.51,um^2,Surface,16,75724,
1101.89,um^2,Surface,16,75725,
21166.7,um^2,Surface,16,75726,
9065.81,um^2,Surface,17,75727,
6882.99,um^2,Surface,17,75728,
4192.59,um^2,Surface,17,75729,
1100.16,um^2,Surface,17,75730,
7182.49,um^2,Surface,17,75731,
3303.43,um^2,Surface,17,75732,
1694.14,um^2,Surface,17,75733,
1680.62,um^2,Surface,17,75734,
10983.6,um^2,Surface,17,75735,
5888.9,um^2,Surface,17,75736,
10281.1,um^2,Surface,17,75737,
1055.52,um^2,Surface,17,75738,
7224.11,um^2,Surface,17,75739,
8130.41,um^2,Surface,17,75740,
7143.08,um^2,Surface,17,75741,
11042.9,um^2,Surface,17,75742,
6339.87,um^2,Surface,17,75743,
9558.68,um^2,Surface,17,75744,
4759.19,um^2,Surface,17,75745,
9967.77,um^2,Surface,17,75746,
2342.07,um^2,Surface,17,75747,
3126.21,um^2,Surface,17,75748,
5190.93,um^2,Surface,17,75749,
1162.19,um^2,Surface,17,75750,
4331.52,um^2,Surface,17,75751,
2272.08,um^2,Surface,17,75752,
3955.47,um^2,Surface,17,75753,
19544.7,um^2,Surface,17,75754,
10977.1,um^2,Surface,17,75755,
6054.59,um^2,Surface,17,75756,
8985.34,um^2,Surface,17,75757,
11461.2,um^2,Surface,17,75758,
20854.5,um^2,Surface,17,75759,
7705.3,um^2,Surface,17,75760,
1165.47,um^2,Surface,17,75761,
1606.94,um^2,Surface,18,75762,
3053.39,um^2,Surface,18,75763,
1601.84,um^2,Surface,18,75764,
7566.4,um^2,Surface,18,75765,
9077.76,um^2,Surface,18,75766,
6863.09,um^2,Surface,18,75767,
4462.35,um^2,Surface,18,75768,
1328.79,um^2,Surface,18,75769,
10653.9,um^2,Surface,18,75770,
6060.29,um^2,Surface,18,75771,
9691.07,um^2,Surface,18,75772,
1246.41,um^2,Surface,18,75773,
6861.32,um^2,Surface,18,75774,
8143.61,um^2,Surface,18,75775,
7109.07,um^2,Surface,18,75776,
10933.7,um^2,Surface,18,75777,
6021.68,um^2,Surface,18,75778,
4950.54,um^2,Surface,18,75779,
9734.62,um^2,Surface,18,75780,
9931.59,um^2,Surface,18,75781,
2198.91,um^2,Surface,18,75782,
3259.96,um^2,Surface,18,75783,
5351.17,um^2,Surface,18,75784,
1233.69,um^2,Surface,18,75785,
4526.21,um^2,Surface,18,75786,
