
Volume
 ==================== 
Volume,Unit,Category,Time,ID,
5075.48,um^3,Surface,12,75556,
21506.6,um^3,Surface,12,75557,
3850.19,um^3,Surface,12,75558,
38659.7,um^3,Surface,12,75559,
29402,um^3,Surface,12,75560,
38688.1,um^3,Surface,12,75561,
27676.4,um^3,Surface,12,75562,
2553.04,um^3,Surface,12,75563,
34495.7,um^3,Surface,12,75564,
24295.5,um^3,Surface,12,75565,
39747.3,um^3,Surface,12,75566,
23856.5,um^3,Surface,12,75567,
17165.9,um^3,Surface,12,75568,
42048,um^3,Surface,12,75569,
34867,um^3,Surface,12,75570,
6767.83,um^3,Surface,12,75571,
10095.3,um^3,Surface,12,75572,
19933.3,um^3,Surface,12,75573,
12125.5,um^3,Surface,12,75574,
2943.07,um^3,Surface,12,75575,
7299.27,um^3,Surface,12,75576,
16510,um^3,Surface,12,75577,
61547.3,um^3,Surface,12,75578,
48378.4,um^3,Surface,12,75579,
23830,um^3,Surface,12,75580,
38101.4,um^3,Surface,12,75581,
40620.7,um^3,Surface,12,75582,
2031.93,um^3,Surface,12,75583,
24768.9,um^3,Surface,12,75584,
84611,um^3,Surface,12,75585,
4959.53,um^3,Surface,13,75586,
21600.9,um^3,Surface,13,75587,
39983.4,um^3,Surface,13,75588,
26246.5,um^3,Surface,13,75589,
13329.5,um^3,Surface,13,75590,
1668.6,um^3,Surface,13,75591,
3972.63,um^3,Surface,13,75592,
4406.67,um^3,Surface,13,75593,
38093.2,um^3,Surface,13,75594,
29479.4,um^3,Surface,13,75595,
2745.61,um^3,Surface,13,75596,
38196.9,um^3,Surface,13,75597,
28107.9,um^3,Surface,13,75598,
34560.9,um^3,Surface,13,75599,
25221.7,um^3,Surface,13,75600,
38831.6,um^3,Surface,13,75601,
17060.1,um^3,Surface,13,75602,
24264.2,um^3,Surface,13,75603,
41309.5,um^3,Surface,13,75604,
35385.6,um^3,Surface,13,75605,
6862.83,um^3,Surface,13,75606,
10085.2,um^3,Surface,13,75607,
19394.3,um^3,Surface,13,75608,
2416.71,um^3,Surface,13,75609,
6567.3,um^3,Surface,13,75610,
11594.3,um^3,Surface,13,75611,
16812.9,um^3,Surface,13,75612,
61480.9,um^3,Surface,13,75613,
