
Displacement Delta Length
 ====================
Displacement^2,Unit,Category,Time,TrackID,ID
20.9797,um,Surface,73,1000056422,59440
10.49,um,Surface,73,1000052720,59441
3.31918,um,Surface,73,1000052714,59442
4.50432,um,Surface,73,1000056813,59443
1.26485,um,Surface,73,1000052718,59444
13.24,um,Surface,73,1000052713,59445
1.34247,um,Surface,73,1000053000,59446
2.99358,um,Surface,73,1000055001,59447
3.04896,um,Surface,73,1000052721,59448
8.83093,um,Surface,73,1000052729,59449
3.06514,um,Surface,73,1000056989,59450
0,um,Surface,73,1000059451,59451
5.32956,um,Surface,73,1000058708,59452
18.929,um,Surface,73,1000053822,59453
4.70946,um,Surface,73,1000055106,59454
1.7208,um,Surface,73,1000052724,59455
5.43225,um,Surface,73,1000052727,59456
2.34441,um,Surface,73,1000052731,59457
4.24574,um,Surface,73,1000052732,59458
1.13439,um,Surface,73,1000052733,59459
0.495105,um,Surface,73,1000052730,59460
6.37932,um,Surface,73,1000059275,59461
5.82061,um,Surface,73,1000058351,59462
13.3497,um,Surface,73,1000055107,59463
3.0973,um,Surface,73,1000058633,59464
1.81258,um,Surface,73,1000052728,59465
2.42639,um,Surface,73,1000057293,59466
1.52669,um,Surface,74,1000052681,59467
11.4628,um,Surface,74,1000053564,59468
0.825513,um,Surface,74,1000052668,59469
11.0351,um,Surface,74,1000059118,59470
2.97487,um,Surface,74,1000055510,59471
13.3645,um,Surface,74,1000056259,59472
2.28079,um,Surface,74,1000053473,59473
4.38064,um,Surface,74,1000052677,59474
2.33082,um,Surface,74,1000058916,59475
18.7749,um,Surface,74,1000057728,59476
1.44146,um,Surface,74,1000052648,59477
1.0438,um,Surface,74,1000052653,59478
0.145622,um,Surface,74,1000052654,59479
0.639937,um,Surface,74,1000052652,59480
1.32187,um,Surface,74,1000052658,59481
4.47364,um,Surface,74,1000057119,59482
1.25195,um,Surface,74,1000052659,59483
2.32295,um,Surface,74,1000055309,59484
13.9855,um,Surface,74,1000058277,59485
11.4554,um,Surface,74,1000059303,59486
0.792736,um,Surface,74,1000052663,59487
1.607,um,Surface,74,1000052661,59488
1.34887,um,Surface,74,1000055218,59489
13.886,um,Surface,74,1000052665,59490
0.406334,um,Surface,74,1000058101,59491
0.513794,um,Surface,74,1000054381,59492
7.44189,um,Surface,74,1000052672,59493
1.69236,um,Surface,74,1000052673,59494
3.56912,um,Surface,74,1000052678,59495
12.4806,um,Surface,74,1000058490,59496
3.07278,um,Surface,74,1000052682,59497
1.95303,um,Surface,74,1000055969,59498
2.2223,um,Surface,74,1000052676,59499
1.37305,um,Surface,74,1000052684,59500
1.3474,um,Surface,74,1000058301,59501
0.677593,um,Surface,74,1000052686,59502
10.5006,um,Surface,74,1000052674,59503
0.50675,um,Surface,74,1000052692,59504
16.8521,um,Surface,74,1000059133,59505
6.1786,um,Surface,74,1000052649,59506
0.342263,um,Surface,74,1000055724,59507
13.9236,um,Surface,74,1000052679,59508
7.90002,um,Surface,74,1000052785,59509
6.12188,um,Surface,74,1000057445,59510
1.07851,um,Surface,74,1000052697,59511
1.11972,um,Surface,74,1000052696,59512
4.00082,um,Surface,74,1000057529,59513
2.29603,um,Surface,74,1000059142,59514
11.0745,um,Surface,74,1000059239,59515
6.01927,um,Surface,74,1000056206,59516
5.20886,um,Surface,74,1000052708,59517
7.45136,um,Surface,74,1000059427,59518
1.19839,um,Surface,74,1000052706,59519
4.15873,um,Surface,74,1000052705,59520
0.843992,um,Surface,74,1000058494,59521
2.63592,um,Surface,74,1000052701,59522
1.61405,um,Surface,74,1000059156,59523
1.06105,um,Surface,74,1000059154,59524
4.38979,um,Surface,74,1000052702,59525
0.846288,um,Surface,74,1000052710,59526
7.86134,um,Surface,74,1000052711,59527
2.32861,um,Surface,74,1000052717,59528
14.7858,um,Surface,74,1000056422,59529
13.3135,um,Surface,74,1000057554,59530
10.6682,um,Surface,74,1000056813,59531
4.88209,um,Surface,74,1000052714,59532
2.96414,um,Surface,74,1000055001,59533
0.675569,um,Surface,74,1000052718,59534
1.66394,um,Surface,74,1000052721,59535
7.47373,um,Surface,74,1000052713,59536
0.47178,um,Surface,74,1000053000,59537
6.66337,um,Surface,74,1000052729,59538
1.68473,um,Surface,74,1000056989,59539
7.19122,um,Surface,74,1000058708,59540
0.315978,um,Surface,74,1000053822,59541
0.497325,um,Surface,74,1000055106,59542
0.764137,um,Surface,74,1000052724,59543
10.4934,um,Surface,74,1000052727,59544
2.44913,um,Surface,74,1000052731,59545
4.50744,um,Surface,74,1000052732,59546
2.23556,um,Surface,74,1000058351,59547
1.0572,um,Surface,74,1000052730,59548
3.952,um,Surface,74,1000059275,59549
0.734014,um,Surface,74,1000052733,59550
7.92487,um,Surface,74,1000052736,59551
1.76239,um,Surface,74,1000058633,59552
5.40667,um,Surface,74,1000057293,59553
0.340374,um,Surface,74,1000052728,59554
3.63389,um,Surface,75,1000052673,59555
3.19511,um,Surface,75,1000054381,59556
4.21163,um,Surface,75,1000052672,59557
0,um,Surface,75,1000059558,59558
15.632,um,Surface,75,1000057728,59559
1.48393,um,Surface,75,1000052681,59560
0.886748,um,Surface,75,1000052668,59561
7.17398,um,Surface,75,1000052677,59562
2.0892,um,Surface,75,1000053473,59563
1.85077,um,Surface,75,1000058916,59564
14.5975,um,Surface,75,1000059118,59565
2.26322,um,Surface,75,1000052651,59566
2.89592,um,Surface,75,1000052648,59567
0,um,Surface,75,1000059568,59568
0.525589,um,Surface,75,1000052654,59569
0.943016,um,Surface,75,1000052652,59570
6.82299,um,Surface,75,1000052653,59571
1.47214,um,Surface,75,1000052658,59572
0.499907,um,Surface,75,1000052659,59573
1.03595,um,Surface,75,1000057119,59574
11.8903,um,Surface,75,1000058277,59575
0.521607,um,Surface,75,1000055309,59576
5.0807,um,Surface,75,1000059303,59577
2.56109,um,Surface,75,1000052663,59578
2.75621,um,Surface,75,1000052661,59579
8.59884,um,Surface,75,1000055982,59580
