
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.0764714,,Surface,277,1000074650,74650,
0.274355,,Surface,277,1000071615,74651,
0.502555,,Surface,277,1000052668,74652,
0.328232,,Surface,277,1000073879,74653,
0.47571,,Surface,277,1000074599,74654,
0.427464,,Surface,277,1000074039,74655,
0.512493,,Surface,277,1000064155,74656,
0.475357,,Surface,277,1000068360,74657,
0.416516,,Surface,277,1000074485,74658,
0.482365,,Surface,277,1000062157,74659,
0.353305,,Surface,277,1000069461,74660,
0.465432,,Surface,277,1000052677,74661,
0.412474,,Surface,277,1000071561,74662,
0.282743,,Surface,277,1000069550,74663,
0.357905,,Surface,277,1000061420,74664,
0.693937,,Surface,277,1000073236,74665,
0.475077,,Surface,277,1000052696,74666,
0.407309,,Surface,277,1000072717,74667,
0.546745,,Surface,277,1000074193,74668,
0.29121,,Surface,277,1000074136,74669,
0.363816,,Surface,277,1000073119,74670,
0.338296,,Surface,277,1000073839,74671,
0.313472,,Surface,277,1000073774,74672,
0.368968,,Surface,277,1000074009,74673,
0.781887,,Surface,277,1000074202,74674,
0.534733,,Surface,277,1000066522,74675,
0.144932,,Surface,277,1000052706,74676,
0.439886,,Surface,277,1000062771,74677,
0.328582,,Surface,277,1000063932,74678,
0.758262,,Surface,277,1000074570,74679,
0.553754,,Surface,277,1000072788,74680,
0.305132,,Surface,277,1000072477,74681,
0.527029,,Surface,277,1000069422,74682,
0.260372,,Surface,277,1000073081,74683,
0.302102,,Surface,277,1000052731,74684,
0.269774,,Surface,277,1000066193,74685,
0.400409,,Surface,277,1000052730,74686,
0.572994,,Surface,277,1000072150,74687,
0.521634,,Surface,277,1000052733,74688,
0.263184,,Surface,277,1000074347,74689,
0.495859,,Surface,278,1000073338,74690,
0.491739,,Surface,278,1000052658,74691,
0.611807,,Surface,278,1000052659,74692,
0.299497,,Surface,278,1000073982,74693,
0.478485,,Surface,278,1000074589,74694,
0.415768,,Surface,278,1000072493,74695,
0.300429,,Surface,278,1000073096,74696,
0.536839,,Surface,278,1000066218,74697,
0.391602,,Surface,278,1000064603,74698,
0.334611,,Surface,278,1000068865,74699,
0.330822,,Surface,278,1000055510,74700,
0.627908,,Surface,278,1000074227,74701,
0.5881,,Surface,278,1000074650,74702,
0.624287,,Surface,278,1000071615,74703,
0.505409,,Surface,278,1000052668,74704,
0.527442,,Surface,278,1000074599,74705,
0.472818,,Surface,278,1000064155,74706,
0.638089,,Surface,278,1000062157,74707,
0.395205,,Surface,278,1000071561,74708,
0.330053,,Surface,278,1000069461,74709,
0.388913,,Surface,278,1000061420,74710,
