
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.447256,,Surface,30,1000054977,55344,
0.491498,,Surface,30,1000052709,55345,
0.562528,,Surface,30,1000052697,55346,
0.690245,,Surface,30,1000052702,55347,
0.386652,,Surface,30,1000052699,55348,
0.645282,,Surface,30,1000052705,55349,
0.46471,,Surface,30,1000052791,55350,
0.591285,,Surface,30,1000052701,55351,
0.559727,,Surface,30,1000052706,55352,
0.579897,,Surface,30,1000052707,55353,
0.278249,,Surface,30,1000052715,55354,
0.631266,,Surface,30,1000054710,55355,
0.634764,,Surface,30,1000054717,55356,
0.622393,,Surface,30,1000052710,55357,
0.450104,,Surface,30,1000052711,55358,
0.356643,,Surface,30,1000052713,55359,
0.498593,,Surface,30,1000052729,55360,
0.347643,,Surface,30,1000052720,55361,
0.243134,,Surface,30,1000052717,55362,
0.723974,,Surface,30,1000052714,55363,
0.179025,,Surface,30,1000052712,55364,
0.623078,,Surface,30,1000052718,55365,
0.489705,,Surface,30,1000052725,55366,
0.278103,,Surface,30,1000055001,55367,
0.385741,,Surface,30,1000052721,55368,
0.711945,,Surface,30,1000052724,55369,
0.439048,,Surface,30,1000053814,55370,
0.536286,,Surface,30,1000053822,55371,
0.368841,,Surface,30,1000052723,55372,
0.588874,,Surface,30,1000052732,55373,
0.380962,,Surface,30,1000052727,55374,
0.443874,,Surface,30,1000052730,55375,
0.609514,,Surface,30,1000052731,55376,
0.126607,,Surface,30,1000055106,55377,
0.53529,,Surface,30,1000052733,55378,
0.200369,,Surface,30,1000052734,55379,
0.453808,,Surface,30,1000054284,55380,
0.48934,,Surface,30,1000052736,55381,
0.519175,,Surface,30,1000052728,55382,
0.417239,,Surface,31,1000052648,55383,
0.162587,,Surface,31,1000052669,55384,
0.591705,,Surface,31,1000052651,55385,
0.45543,,Surface,31,1000052652,55386,
0.552032,,Surface,31,1000052653,55387,
0.395177,,Surface,31,1000052654,55388,
0.671078,,Surface,31,1000052660,55389,
0.467226,,Surface,31,1000053569,55390,
0.604388,,Surface,31,1000052658,55391,
0.449854,,Surface,31,1000052659,55392,
0.313186,,Surface,31,1000052657,55393,
0.179565,,Surface,31,1000055309,55394,
0.39941,,Surface,31,1000052663,55395,
0.736193,,Surface,31,1000052661,55396,
0.311686,,Surface,31,1000055218,55397,
0.755582,,Surface,31,1000054491,55398,
0.306225,,Surface,31,1000052665,55399,
0.342879,,Surface,31,1000052666,55400,
0.407868,,Surface,31,1000052667,55401,
0.525061,,Surface,31,1000055135,55402,
0.429361,,Surface,31,1000055403,55403,
0.4138,,Surface,31,1000053473,55404,
0.454027,,Surface,31,1000052668,55405,
0.691192,,Surface,31,1000053564,55406,
0.669415,,Surface,31,1000052670,55407,
0.286779,,Surface,31,1000052681,55408,
0.749488,,Surface,31,1000052672,55409,
0.412759,,Surface,31,1000052650,55410,
0.428847,,Surface,31,1000052673,55411,
0.188644,,Surface,31,1000054381,55412,
0.635332,,Surface,31,1000052675,55413,
0.39399,,Surface,31,1000052682,55414,
0.536499,,Surface,31,1000052698,55415,
0.458743,,Surface,31,1000052677,55416,
0.291183,,Surface,31,1000052683,55417,
0.493014,,Surface,31,1000052716,55418,
0.517276,,Surface,31,1000052676,55419,
0.394409,,Surface,31,1000052680,55420,
0.262786,,Surface,31,1000052679,55421,
0.376839,,Surface,31,1000052678,55422,
0.480382,,Surface,31,1000052649,55423,
0.323318,,Surface,31,1000052684,55424,
0.319499,,Surface,31,1000052689,55425,
0.524322,,Surface,31,1000052687,55426,
0.748458,,Surface,31,1000052692,55427,
0.617262,,Surface,31,1000052686,55428,
0.632856,,Surface,31,1000052688,55429,
0.636915,,Surface,31,1000052693,55430,
0.319649,,Surface,31,1000054151,55431,
0.656112,,Surface,31,1000052690,55432,
0.418361,,Surface,31,1000052674,55433,
0.558867,,Surface,31,1000052785,55434,
0.351378,,Surface,31,1000052700,55435,
0.302299,,Surface,31,1000052696,55436,
0.551623,,Surface,31,1000054977,55437,
0.350991,,Surface,31,1000052699,55438,
0.599558,,Surface,31,1000052708,55439,
0.540821,,Surface,31,1000052706,55440,
0.539144,,Surface,31,1000052709,55441,
0.440348,,Surface,31,1000052791,55442,
0.672351,,Surface,31,1000052702,55443,
0.477989,,Surface,31,1000052701,55444,
0.237228,,Surface,31,1000052705,55445,
0.398591,,Surface,31,1000054717,55446,
0.567431,,Surface,31,1000052707,55447,
0.691588,,Surface,31,1000054710,55448,
0.660407,,Surface,31,1000052710,55449,
0.54703,,Surface,31,1000052720,55450,
0.43208,,Surface,31,1000055451,55451,
0.573864,,Surface,31,1000052713,55452,
0.697065,,Surface,31,1000052711,55453,
0.526487,,Surface,31,1000052714,55454,
0.621943,,Surface,31,1000052729,55455,
0.698967,,Surface,31,1000052718,55456,
0.41687,,Surface,31,1000052717,55457,
0.264154,,Surface,31,1000052725,55458,
0.633815,,Surface,31,1000052712,55459,
0.506517,,Surface,31,1000052721,55460,
0.628532,,Surface,31,1000055001,55461,
0.232424,,Surface,31,1000053814,55462,
0.606761,,Surface,31,1000053000,55463,
0.61263,,Surface,31,1000053822,55464,
0.508145,,Surface,31,1000052724,55465,
0.370417,,Surface,31,1000052727,55466,
0.532789,,Surface,31,1000052723,55467,
0.348829,,Surface,31,1000052732,55468,
0.640412,,Surface,31,1000052731,55469,
0.537644,,Surface,31,1000052733,55470,
0.56465,,Surface,31,1000052730,55471,
0.543697,,Surface,31,1000054284,55472,
0.558362,,Surface,31,1000055107,55473,
0.209157,,Surface,31,1000052734,55474,
0.506693,,Surface,31,1000055106,55475,
0.572246,,Surface,31,1000052736,55476,
0.459798,,Surface,31,1000052728,55477,
0.636465,,Surface,32,1000052672,55478,
0.319075,,Surface,32,1000053564,55479,
0.430214,,Surface,32,1000052670,55480,
0.349786,,Surface,32,1000053473,55481,
0.76086,,Surface,32,1000052668,55482,
0.498231,,Surface,32,1000052648,55483,
0.623434,,Surface,32,1000052669,55484,
0.401056,,Surface,32,1000052652,55485,
0.37911,,Surface,32,1000052651,55486,
0.565966,,Surface,32,1000052653,55487,
0.34813,,Surface,32,1000055488,55488,
0.538491,,Surface,32,1000052654,55489,
0.385532,,Surface,32,1000053569,55490,
0.371515,,Surface,32,1000052660,55491,
0.226549,,Surface,32,1000055492,55492,
0.731192,,Surface,32,1000052658,55493,
0.599053,,Surface,32,1000052659,55494,
0.459101,,Surface,32,1000052657,55495,
0.241981,,Surface,32,1000054848,55496,
0.204444,,Surface,32,1000055309,55497,
0.455183,,Surface,32,1000052663,55498,
0.43811,,Surface,32,1000055218,55499,
0.63564,,Surface,32,1000052661,55500,
