
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
-1.47311,-0.0786252,1.83879,um,Surface,Displacement Delta,2,1000081145,81275,
14.2395,-8.80574,0.910247,um,Surface,Displacement Delta,2,1000081147,81276,
2.10258,5.94629,0.0617352,um,Surface,Displacement Delta,2,1000081149,81277,
2.11612,-0.12558,-1.34852,um,Surface,Displacement Delta,2,1000081144,81278,
-2.83397,-8.22849,-0.173684,um,Surface,Displacement Delta,2,1000081152,81279,
0,0,0,um,Surface,Displacement Delta,2,1000081280,81280,
4.81923,3.66055,0.444401,um,Surface,Displacement Delta,2,1000081148,81281,
3.42021,-6.67232,0.346736,um,Surface,Displacement Delta,2,1000081154,81282,
0.813812,-7.08686,-0.752756,um,Surface,Displacement Delta,2,1000081150,81283,
1.21823,-3.69174,-0.276656,um,Surface,Displacement Delta,2,1000081151,81284,
0.800003,0.366936,1.65225,um,Surface,Displacement Delta,2,1000081155,81285,
2.33704,-2.08347,0.316133,um,Surface,Displacement Delta,2,1000081156,81286,
1.20143,-0.13192,-0.187586,um,Surface,Displacement Delta,2,1000081153,81287,
-7.09782,-6.99477,1.172,um,Surface,Displacement Delta,2,1000081158,81288,
1.38614,0.316772,0.0896845,um,Surface,Displacement Delta,2,1000081157,81289,
0.0429382,5.49083,0.145714,um,Surface,Displacement Delta,2,1000081159,81290,
0.142914,-0.0966187,0.22,um,Surface,Displacement Delta,3,1000081032,81291,
-2.14154,-5.93872,0.0385027,um,Surface,Displacement Delta,3,1000081053,81292,
-1.40894,0.695618,-1.09138,um,Surface,Displacement Delta,3,1000081033,81293,
0.210205,0.216187,0.210031,um,Surface,Displacement Delta,3,1000081034,81294,
-1.96112,-0.0255432,-0.0559902,um,Surface,Displacement Delta,3,1000081035,81295,
-1.04565,0.0804443,0.0379963,um,Surface,Displacement Delta,3,1000081036,81296,
2.45978,0.95047,1.32876,um,Surface,Displacement Delta,3,1000081038,81297,
-0.347778,-0.0468445,0.318256,um,Surface,Displacement Delta,3,1000081039,81298,
1.08795,6.47784,1.19002,um,Surface,Displacement Delta,3,1000081042,81299,
-4.89587,-0.0327148,0.239743,um,Surface,Displacement Delta,3,1000081040,81300,
2.4151,7.66071,-1.20031,um,Surface,Displacement Delta,3,1000081041,81301,
0.0143433,-6.4205,-4.83119,um,Surface,Displacement Delta,3,1000081043,81302,
1.42059,-0.325012,-0.289062,um,Surface,Displacement Delta,3,1000081044,81303,
2.04474,-1.90295,0.0708332,um,Surface,Displacement Delta,3,1000081045,81304,
6.80536,16.679,5.61784,um,Surface,Displacement Delta,3,1000081046,81305,
-0.122314,-0.883362,-0.0955153,um,Surface,Displacement Delta,3,1000081047,81306,
-6.10352e-05,-0.183228,0.303449,um,Surface,Displacement Delta,3,1000081048,81307,
-1.48279,-0.0164795,0.593617,um,Surface,Displacement Delta,3,1000081050,81308,
-1.08997,-6.10352e-05,0.423078,um,Surface,Displacement Delta,3,1000081051,81309,
0.0421753,1.73962,-0.303373,um,Surface,Displacement Delta,3,1000081052,81310,
-0.230652,1.47778,0.48703,um,Surface,Displacement Delta,3,1000081058,81311,
1.46509,1.53281,-0.870693,um,Surface,Displacement Delta,3,1000081054,81312,
-0.907593,-3.74103,0.177331,um,Surface,Displacement Delta,3,1000081055,81313,
-2.25995,1.38748,-0.0733337,um,Surface,Displacement Delta,3,1000081186,81314,
0.814697,0.620056,1.46465,um,Surface,Displacement Delta,3,1000081060,81315,
0.355896,-1.97192,-0.854178,um,Surface,Displacement Delta,3,1000081057,81316,
-1.0332,1.1218,0.485833,um,Surface,Displacement Delta,3,1000081063,81317,
-0.377991,0.129608,0.142531,um,Surface,Displacement Delta,3,1000081188,81318,
-3.33829,0.751221,0.29339,um,Surface,Displacement Delta,3,1000081059,81319,
-0.667877,-0.0184326,0.567187,um,Surface,Displacement Delta,3,1000081061,81320,
-0.100281,0.0290222,0.159426,um,Surface,Displacement Delta,3,1000081066,81321,
3.03033,-5.22705,0.553586,um,Surface,Displacement Delta,3,1000081062,81322,
-5.56674,6.80527,-0.322556,um,Surface,Displacement Delta,3,1000081064,81323,
-1.0571,6.74551,-1.62098,um,Surface,Displacement Delta,3,1000081065,81324,
3.19836,4.07074,-0.0300198,um,Surface,Displacement Delta,3,1000081069,81325,
-3.50516,-0.360168,-0.917106,um,Surface,Displacement Delta,3,1000081071,81326,
-3.48779,-0.130005,-0.26087,um,Surface,Displacement Delta,3,1000081067,81327,
-0.880432,-0.956802,0.651373,um,Surface,Displacement Delta,3,1000081068,81328,
3.35547,1.66301,0.0458336,um,Surface,Displacement Delta,3,1000081073,81329,
-3.65479,0.230713,-0.761134,um,Surface,Displacement Delta,3,1000081074,81330,
0.644714,1.78546,-0.0258102,um,Surface,Displacement Delta,3,1000081070,81331,
-1.02316,4.34753,0.517708,um,Surface,Displacement Delta,3,1000081078,81332,
-0.789886,0.705688,0.295919,um,Surface,Displacement Delta,3,1000081072,81333,
10.8514,-3.93713,0.215916,um,Surface,Displacement Delta,3,1000081075,81334,
-0.013916,-0.0547791,0.223834,um,Surface,Displacement Delta,3,1000081080,81335,
-1.52811,0.707947,-0.297814,um,Surface,Displacement Delta,3,1000081077,81336,
0,0,1.36191,um,Surface,Displacement Delta,3,1000081076,81337,
-0.371155,-0.023613,0.408571,um,Surface,Displacement Delta,3,1000081082,81338,
8.81534,7.80643,-0.0314112,um,Surface,Displacement Delta,3,1000081081,81339,
5.83412,1.40607,0.0768299,um,Surface,Displacement Delta,3,1000081079,81340,
-1.26938,-0.0701294,0.309375,um,Surface,Displacement Delta,3,1000081083,81341,
-0.422028,0.241577,0.0259676,um,Surface,Displacement Delta,3,1000081086,81342,
-0.351257,-0.964508,-0.349874,um,Surface,Displacement Delta,3,1000081088,81343,
2.03377,-0.652588,0.0206289,um,Surface,Displacement Delta,3,1000081085,81344,
-1.66708,0.416779,0.388236,um,Surface,Displacement Delta,3,1000081084,81345,
1.68982,1.09998,0.743629,um,Surface,Displacement Delta,3,1000081096,81346,
5.83315,4.59326,-4.76226,um,Surface,Displacement Delta,3,1000081091,81347,
-3.64929,-0.0265808,0.0735083,um,Surface,Displacement Delta,3,1000081090,81348,
-8.75778,15.3092,0.112573,um,Surface,Displacement Delta,3,1000081087,81349,
2.27669,2.81665,-0.484268,um,Surface,Displacement Delta,3,1000081092,81350,
-0.988281,-1.5575,1.21499,um,Surface,Displacement Delta,3,1000081093,81351,
